Name	Description	Control	Treatment
FOSL2	6777	173.720429068458	2998.68952020492
FTH1	6905	3792.60240018886	10711.793154301
JOSD1	9162	494.340199797403	2593.36740764874
MCL1	13201	935.95376934354	3795.59598915742
NR4A3	16639	11.7103136395884	1280.45703858387
PDE4D	17824	204.932699829855	1753.0297415491
SLC7A5	21467	951.07043947741	4566.22743899211
THBS1	23376	8526.1534604028	29995.8120466788
SLC2A3	21294	281.077009177553	1918.31074264291
CABLES1	2516	198.115564567177	1665.83455513863
EREG	5797	130.7757332969	1431.71499873411
CXCL8	4416	18.0593579803255	757.709052418721
CREM	4120	41.4696666199014	868.873406602577
NR4A2	16638	9.75687492639019	689.412498065612
CSF1	4193	224.01226286224	1404.3345813423
MALAT1	12989	24345.3796988923	36650.8419900108
NEAT1	16242	3021.6397604963	6273.77447085035
NR4A1	16637	4.88285973730978	574.677610259092
TNFRSF1B	23914	138.596858606551	1051.89296189622
NAMPT	16047	486.552978589298	1915.31311582942
SH2B3	20936	380.655212626772	1571.58864166433
PLIN2	18330	1066.7781476557	2842.31347687472
PER1	17917	84.9207796890607	807.142635312424
FOSB	6775	7.31765619479264	483.869097508392
SIK1	21041	2.92942102411155	423.19379965508
DDIT4	4690	115.648744523429	838.298040421884
EZR	5942	843.248716629118	2278.68263697303
GLUL	7370	8982.91170781887	13804.2579082186
TPM4	24056	2783.02756343739	5247.58841614061
RASSF2	19538	899.848320205233	2347.52119228375
RMRP	19908	46284.584830035	33787.2645954044
CEMIP	3324	15.6098206091271	461.483139890275
ICOSLG	8621	25.8598460107744	501.771690458863
RDH10	19670	83.4486987201471	694.428354198074
PDE4B	17822	30.7515502963135	515.485672886739
PFKFB3	17953	215.696512985961	1009.62659735302
PLAUR	18253	61.4913078616545	607.83698044834
SHISA2	20996	0.487254109770885	335.028725242875
XIRP1	25357	2.93089511548311	347.245082950606
GNA15	7403	494.346096162889	1515.96961528784
OSM	17386	27.3304528883164	461.461743531497
PLEKHA2	18290	692.884054819488	1835.64884573723
PPP1R16B	18656	41.9657652779017	500.221763528369
MICAL2	13447	786.680068971805	1961.62544850336
CMIP	3785	684.142962671043	1790.2208156299
SYAP1	22855	339.163434636298	1173.25068972244
MALT1	12993	178.61508153674	839.265551050412
SMOX	21644	44.399087644013	726.701044447513
JUND	9176	440.631690869738	1309.45394935569
NRARP	16645	32.700566735397	411.975858427446
SLC38A2	21361	1791.94479739528	3345.00513049816
RGS1	19786	4.39265744479577	283.519856073456
CD55	3094	573.377077884924	1485.32055053802
MXD1	15867	439.18319536277	1251.28657956861
RGS2	19796	14.1480582798144	321.754516725107
MAT2A	13135	893.51254268684	1974.79267522723
METRNL	13335	108.821290621151	576.738632295622
ZNF331	25845	85.8820210862584	615.382161005812
AREG	1030	0.488728201142446	220.255799465193
CDKN1A	3235	112.722271682061	575.706932590758
ARHGAP21	1062	657.843033474388	1545.46573429971
GPR183	7608	157.131677965675	664.411630587371
TNRC18	23960	1927.09992131463	3357.25714880385
AVPI1	1497	23.4250495532915	320.758477618207
HTRA3	8578	119.545303310225	573.612627329461
AKAP12	555	822.245196710965	1766.25402522972
CEBPA	3289	756.849959605657	1717.23644251415
ABHD17C	109	48.797641454295	399.81418030326
USP36	24927	211.300907358422	867.435216212371
THBD	23375	25.3858587233475	319.700626808169
PIK3R1	18131	1230.28982588092	2353.24308812445
NABP1	16023	177.609617398396	688.414081585515
GTPBP1	7833	537.804579688906	1315.04271229733
SLC2A1	21286	385.467315978247	1276.38729672115
LGALS12	10025	14.6382605723284	274.831239270832
TANC1	22991	494.32840706643	1236.44817988116
FOS	6774	51.7344329352643	398.185800057245
SKIL	21084	268.396609592538	841.345592072523
STK17B	22685	428.94054041798	1110.52625669858
CYTIP	4550	114.680132669374	533.343095746455
MBD4	13159	420.671961465591	1093.27026912641
PDE4A	17821	68.8089640564472	422.176364189401
MAP3K8	13055	126.375705395247	552.759955029454
VPS37B	25085	368.453222603299	998.89835487264
CCND2	2976	1311.73201859849	2394.05937541146
RANBP2	19471	2436.55826533727	3894.25160886169
IL4R	8856	141.520383265176	574.646704407523
LMNA	11045	2569.12970957062	4287.37400532252
ACTG1	223	10051.5931750811	13326.136857656
SLC7A11	21460	323.541821296198	899.928962037737
IL1RL1	8818	410.872337889425	1042.78359016907
SYTL3	22926	64.4148325202798	391.104167141858
MCTP2	13223	671.994039936945	1443.08033709999
DDX3X	4727	1408.32478555148	2469.00254351624
CHST11	3572	1166.32686927749	2136.00155708513
RPS29	20249	3799.98786458674	2432.10860095369
LIF	10073	23.9108295716908	263.639449148373
HIVEP2	8230	232.744510462456	710.835699801596
HIST1H1B	8157	10073.067734104	7534.32495140396
HBEGF	7972	9.75834901776175	257.546723220292
DUSP4	5324	6.34167388387931	180.509249854212
SLC39A8	21382	967.635605118249	1790.30877843821
FLNA	6715	16535.8648691953	20674.8059475475
H3F3B	7912	3137.81261141379	4595.28378409388
MAP2K3	13033	208.839577256251	636.871929191329
MAFF	12931	17.0730570298113	219.775610210726
HIST1H2AG	8167	3948.71092491973	2625.97289001439
PSME4	19097	1249.23819478123	2155.9913231773
SKI	21082	456.74203241098	1030.54108135616
ELL2	5602	386.968878774592	920.843446040882
PTP4A1	19175	568.045290413504	1191.67388727173
RUNX3	20379	216.648909834929	633.802981181911
FURIN	6927	1038.87789154081	2009.39736792628
HIST1H4C	8202	3818.45929801689	2562.83245681241
USP12	24868	410.398350601998	939.792002935402
GCNT1	7166	864.735068382927	361.039896067202
KIT	9538	2374.51042107139	3563.6705876885
EGR3	5501	1.46471051205578	154.022644521813
ATP2B1	1393	549.007001939522	1140.1792823415
CA2	2501	121.023280644625	447.224779131595
ACTB	220	32764.5244647497	39324.6677103997
LMO2	11051	1550.31325973859	841.309931474559
ARL4C	1156	69.2917958921034	334.531894376024
LHFPL2	10055	617.268274139964	218.232815399825
NFE2	16321	1135.49424395574	553.254408523108
BIRC3	1727	42.9387994060719	271.303498365726
HIST1H1D	8159	4424.21920903517	3092.44335755876
PPARD	18581	22.9333731694059	215.682094616037
TACC1	22946	1419.52573371072	2310.33011820295
TLE3	23489	415.758145809478	924.932206889176
NFIL3	16330	56.6246631294319	300.832900602369
KIF26A	9500	46.3628449968121	274.850258256413
VEGFA	25020	115.648744523429	422.694591415031
LCP1	9973	6955.88194535143	9027.90860907368
PTGS2	19159	31.7113176021397	233.023667623321
HAS1	7949	0.0	137.7056390998
HIST1H2BH	8182	2819.68365261445	1868.22342225131
PHLDA1	18047	6.83335026776488	142.25557021698
BCL11A	1639	326.970289161053	752.667045181085
STAT4	22657	45.8770649784128	254.917549120982
GALC	7050	571.420690988982	1103.96760575522
CXCL2	4412	26.8358283216877	203.475246401097
DUSP2	5316	24.894182339462	197.817539636729
OSBPL6	17373	30.7441798394557	213.659110550669
AKAP13	556	1368.78202400009	2322.44424886318
EPAS1	5715	46.8397804669821	252.920716160788
MIDN	13460	97.1212956211631	422.649421324276
MOB3B	15487	28.3152797474591	205.997438706513
SH3TC1	20974	109.305596548178	381.395737500358
FPR2	6844	3.90392924365332	122.35138955992
CORO1C	3991	1230.65030813273	1976.32120579895
DUSP6	5327	20.4897321636937	182.01400669395
PMEPA1	18375	3.9009810609102	121.871200305453
JUNB	9175	299.139315340622	695.017902619632
SH2D2A	20939	16.5887511027835	180.540155705781
KCTD20	9347	1404.36631492708	2188.97239037673
PPP1R3B	18674	103.474762236015	362.537520787348
PABPC1	17480	8309.94610784512	10404.7938292014
HEMGN	8063	225.437172907264	37.7330750384041
GEM	7202	7.80638439593509	146.372859543645
NFATC1	16316	279.132415012584	655.249956649872
SLC6A9	21457	17.5647334136968	167.263569814815
LONRF2	12609	30.7412316567126	203.995850999924
HIST1H3H	8197	4037.27391572252	2915.62113261389
HECTD1	8048	2330.04647340702	3321.52328409884
MYH9	15917	7211.21998401068	9086.91273396342
LXN	12845	508.001003967446	984.1526727399
RAP2B	19484	976.443031378414	1615.34549880808
SAMSN1	20470	392.814454000471	816.79400799718
ST3GAL2	22589	524.570591882399	1005.00534503991
YWHAZ	25451	3794.52193480051	5067.54271392849
EIF4G2	5572	4892.23147189985	6362.09645189359
GK	7307	199.589119627462	517.579978148036
HIST1H2AI	8169	2184.16881088997	1426.27838767712
SLC16A3	21143	418.671351828502	849.026282902259
PRKX	18861	268.381868678822	625.199949814402
SLC20A1	21173	444.569524214937	909.069239616457
PLEK	18287	3082.75142291831	2100.85010868208
GRAMD1B	7673	196.658224511979	509.939702662659
DNMBP	5133	173.246441781031	470.183643558887
TMCC3	23550	3.90540333502488	146.377614290041
ADGRE2	367	272.313805658535	621.070773621749
TUBA1A	24504	1050.62358337331	1682.76488271417
REL	19699	418.662507280273	833.650637003601
ETV3	5875	67.8285594714192	276.324109244583
BTG1	1898	383.056104982709	779.657613499927
