GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_1	12	23	16	17	38
ID_2	7	4	9	9	9
ID_3	53	104	91	64	103
ID_4	27	71	61	23	65
ID_5	40	91	89	39	94
ID_6	12	29	17	10	21
ID_7	24	48	73	37	55
ID_8	7	30	16	9	9
ID_9	23	90	59	49	76
ID_10	15	13	27	5	28
ID_11	25	60	70	50	59
ID_12	22	21	27	20	31
ID_13	127	269	277	176	308
ID_14	0	3	1	2	1
ID_15	20	23	46	28	38
ID_16	9	17	24	17	30
ID_17	12	39	47	26	59
ID_18	125	259	247	163	316
ID_19	91	255	205	163	251
ID_20	24	56	40	30	44
ID_21	22	49	43	27	65
ID_22	106	262	282	165	291
ID_23	16	46	42	28	69
ID_24	32	72	65	38	79
ID_25	50	68	95	11	20
ID_26	53	104	94	67	118
ID_27	19	55	41	36	53
ID_28	9	16	19	26	36
ID_29	4	24	27	13	24
ID_30	17	42	33	25	35
ID_31	13	38	50	22	26
ID_32	19	51	35	25	41
ID_33	15	25	23	13	17
ID_34	9	23	26	20	20
ID_35	6	21	32	17	21
ID_36	8	29	33	20	30
ID_37	6	30	21	7	21
ID_38	47	85	60	44	57
ID_39	0	0	0	0	0
ID_40	22	45	39	38	68
ID_41	17	54	52	47	105
ID_42	69	149	126	75	109
ID_43	27	46	36	24	25
ID_44	22	47	57	28	81
ID_45	11	27	32	24	37
ID_46	14	34	53	25	56
ID_47	10	37	30	16	30
ID_48	33	82	74	70	82
ID_49	40	130	117	86	117
ID_50	49	155	162	103	176
ID_51	52	105	107	90	163
ID_52	16	34	42	31	68
ID_53	20	28	38	26	84
ID_54	6	12	18	6	27
ID_55	8	30	16	27	33
ID_56	45	109	103	68	117
ID_57	26	41	55	34	77
ID_58	94	225	219	169	251
ID_59	30	60	59	33	60
ID_60	42	78	104	63	97
ID_61	49	99	95	92	142
ID_62	18	36	39	4	12
ID_63	18	37	36	23	52
ID_64	17	32	23	38	17
ID_65	34	59	66	61	92
ID_66	11	10	18	13	30
ID_67	23	43	57	32	48
ID_68	18	39	53	36	47
ID_69	19	38	58	37	38
ID_70	16	24	25	21	10
ID_71	25	82	68	54	66
ID_72	9	25	25	26	34
ID_73	20	38	22	26	47
ID_74	47	123	113	82	136
ID_75	13	34	34	26	28
ID_76	12	20	36	18	87
ID_77	10	19	22	18	55
ID_78	5	11	19	25	75
ID_79	14	37	46	22	42
ID_80	9	19	12	4	11
ID_81	8	21	16	5	7
ID_82	18	53	68	33	54
ID_83	45	122	113	47	111
ID_84	14	19	77	31	71
ID_85	13	10	67	33	17
ID_86	85	183	171	94	182
ID_87	0	4	8	1	38
ID_88	13	17	23	12	37
ID_89	23	47	45	39	52
ID_90	45	80	93	86	109
ID_91	27	44	46	33	52
ID_92	1	3	2	6	18
ID_93	1	7	10	4	23
ID_94	3	2	8	4	18
ID_95	29	80	96	26	77
ID_96	23	55	43	55	44
ID_97	5	9	9	6	16
ID_98	68	167	159	120	165
ID_99	27	55	48	12	20
ID_100	37	88	84	51	78
ID_101	11	32	33	26	37
ID_102	14	23	23	18	19
ID_103	13	40	47	16	37
ID_104	13	47	33	20	31
ID_105	26	89	99	45	83
ID_106	31	42	69	37	57
ID_107	2	21	12	3	6
ID_108	13	30	31	29	40
ID_109	40	79	45	49	59
ID_110	38	113	104	69	97
ID_111	72	140	140	111	159
ID_112	13	27	37	19	39
ID_113	11	43	28	24	35
ID_114	20	48	38	30	26
ID_115	24	33	30	19	16
ID_116	10	23	11	14	17
ID_117	20	31	48	32	50
ID_118	20	60	58	84	126
ID_119	11	23	15	9	6
ID_120	23	47	48	15	39
ID_121	35	61	60	35	59
ID_122	19	47	54	12	51
ID_123	27	54	61	39	69
ID_124	14	35	23	20	22
ID_125	6	28	28	8	6
ID_126	34	81	81	26	54
ID_127	11	18	26	16	24
ID_128	10	25	16	3	6
ID_129	7	12	3	17	35
ID_130	4	20	28	23	49
ID_131	34	55	54	45	58
ID_132	12	28	33	16	26
ID_133	8	25	34	17	27
ID_134	15	22	39	17	20
ID_135	20	65	55	19	39
ID_136	40	78	71	53	51
ID_137	21	41	56	39	51
ID_138	8	29	34	24	25
ID_139	48	100	92	74	137
ID_140	25	57	75	45	71
ID_141	14	37	41	34	50
ID_142	12	27	30	25	42
ID_143	10	14	12	22	35
ID_144	17	54	26	39	33
ID_145	23	51	45	45	86
ID_146	15	24	29	45	57
ID_147	15	77	50	48	56
ID_148	33	79	57	62	73
ID_149	76	105	83	76	88
ID_150	15	15	23	9	12
ID_151	15	65	47	19	38
ID_152	46	100	104	82	142
ID_153	9	50	30	20	33
ID_154	11	17	35	9	29
ID_155	22	104	81	51	77
ID_156	38	165	157	88	142
ID_157	9	32	23	7	16
ID_158	6	32	20	12	27
ID_159	42	130	110	68	125
ID_160	65	161	168	125	207
ID_161	12	32	14	16	23
ID_162	31	66	41	54	58
ID_163	17	36	45	27	36
ID_164	23	59	49	33	58
ID_165	31	105	68	64	85
ID_166	15	36	50	19	74
ID_167	10	27	19	4	13
ID_168	13	34	27	25	35
ID_169	24	67	55	28	59
ID_170	8	7	14	20	56
ID_171	3	9	16	9	30
ID_172	13	20	21	5	11
ID_173	5	29	32	9	21
