Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_population,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,stage
SRR4895395,RNA-Seq,300,844849800,PRJNA352390,SAMN05977571,402162155,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324758,GSM2373909,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373909,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895396,RNA-Seq,300,421711800,PRJNA352390,SAMN05977570,199518859,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324759,GSM2373910,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373910,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895397,RNA-Seq,300,687370800,PRJNA352390,SAMN05977572,324793657,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324760,GSM2373911,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373911,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895398,RNA-Seq,300,567519000,PRJNA352390,SAMN05977587,268646295,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324761,GSM2373912,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373912,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895399,RNA-Seq,300,330170400,PRJNA352390,SAMN05977573,155912251,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324762,GSM2373913,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373913,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895400,RNA-Seq,300,394312500,PRJNA352390,SAMN05977567,186771037,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324763,GSM2373914,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373914,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895401,RNA-Seq,300,221422500,PRJNA352390,SAMN05977566,104404243,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324764,GSM2373915,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373915,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895402,RNA-Seq,300,448629000,PRJNA352390,SAMN05977569,213491232,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324765,GSM2373916,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373916,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895403,RNA-Seq,300,434139000,PRJNA352390,SAMN05977568,206234730,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324766,GSM2373917,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373917,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895404,RNA-Seq,300,566619300,PRJNA352390,SAMN05977586,272430547,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324767,GSM2373918,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373918,Extravillous trophoblast of Week 24,SRP092548,Week 24
