	active_beta1	active_beta2	rest_beta1	rest_beta2
RNF14	0.07648699452902208	1.6005208000929287	0.7632583935764052	1.840225546566286
UBE2Q1	0.0	1.6350970966223146	0.42320111052705495	1.2985622668029424
UBE2Q2	0.33439605947293877	2.0966589731268526	0.3809217368896708	2.2333384163630727
RNF10	0.14480897479617133	1.5475215857559073	0.44847991191673003	1.7055003721116824
RNF11	0.0	1.7254366390041687	0.38524472032499824	2.2625110345939925
C16orf13	0.8053889022545998	0.2748275811631029	0.0	0.24739266515706032
MVB12B	0.05339579559042051	1.7983970623414385	0.8604851051907727	1.904511781356996
PMM2	0.07381605441047397	1.4171711268918563	0.09998471737298777	1.7084830653906045
PMM1	0.0	1.346104548919683	0.0	1.4136328551616233
FHIT	0.4567057096497257	0.6076393022290357	0.4903646339272359	1.2284785185468816
ZNF709	1.0698292178310738	0.884699940424745	1.175576363734125	1.3556760109780635
ZNF708	0.9516335383875377	1.6783506052232893	1.1690687832381597	2.3001495602124344
ZNF879	1.0017711115064727	1.939245847472471	1.436123328722907	2.185711227566419
COPRS	0.0	1.8141473039710898	0.1338227284307076	1.220780150538796
ZNF700	0.38101150334863326	0.7519650481912364	0.6186083739010034	0.6140846257775023
ZNF707	0.23006122646902138	1.7373374753129913	0.6661606879427746	1.4111494025613214
ZC3H10	0.9300174665448733	1.8281191680345525	0.6902831990111687	1.5447010817171263
RNF114	0.00813874052779247	1.5652023222521814	0.4373904778248564	1.7151124004486862
ZC3H15	0.08522322457092603	1.9782699369211998	0.751052110521343	2.2085084710936917
ZC3H14	0.0	1.5787229522019293	0.1358329948023943	2.4034028682961672
RNF111	0.7690019956290529	1.320679461692988	0.6381853657866767	1.5975380075244912
ZC3H18	0.1736995816813301	1.590024933386154	0.27238349993095645	1.471684345721073
DHX8	0.02907007680004896	1.6546462630091892	0.3935534664640822	1.4827228968117785
TCOF1	0.243620901172007	2.0354195152935226	0.1337128838892904	1.8146985272035394
NUP98	0.1503301438162638	1.2647314582064955	0.4046906790768764	1.6896070440740543
XPC	0.10474658027705547	1.6151301686939539	0.41201054956186156	1.9995654587491387
SP1	0.15205712427929924	1.7703180666647553	1.0907090087088964	1.6395724026776475
GRINA	0.0	0.7951294818387473	0.0	0.9698434107454308
SP3	0.303837796559072	1.5483870931266481	1.0354282781263888	1.656583512845571
NUP93	0.038524968795954496	1.682617605922297	0.0	1.8594058376576286
C16orf93	0.8714287176879608	1.7810736645560696	0.0	1.9478122249793177
GOLIM4	0.2432838725976481	1.6334389076232305	0.20897771086883402	1.823975389643424
