	active_beta1	active_beta2	rest_beta1	rest_beta2
RNF14	0.09676355504606853	1.6207973602941437	0.8819066033367189	1.9588736472588488
UBE2Q1	0.0	1.6553739149454496	0.5418492878677823	1.4172104419852312
UBE2Q2	0.3546726203336797	2.1169355339988036	0.49956991373668413	2.3519865985334594
RNF10	0.16508553848084756	1.567798142595611	0.5671280890372484	1.8241485503155295
RNF11	0.0	1.7457131979197955	0.5038928974082333	2.3811592248731235
C16orf13	0.8256648482912095	0.29510335732355664	0.0	0.36604085036731143
MVB12B	0.07367225693984494	1.8186733909029298	0.9791333178524838	2.0231599420719206
PMM2	0.094092615011358	1.4374476865340875	0.21863296557560985	1.8271311142341682
PMM1	0.0	1.3663810984193774	0.0	1.532281023634353
FHIT	0.47698227770810236	0.6279158472283795	0.6090131948875592	1.3471269456389867
ZNF709	1.0901057678441504	0.9049765132028698	1.2942245393588474	1.47432418665697
ZNF708	0.9719101014464459	1.6986271639655905	1.2877169842049752	2.4187976199687675
ZNF879	1.0220476861710062	1.959522461918709	1.5547715049607813	2.3043594046572133
COPRS	0.0	1.834423863275352	0.2524708437791461	1.3394283242357583
ZNF700	0.40128806271947726	0.7722416648048631	0.7372565572265348	0.7327328054819446
ZNF707	0.25033779043023957	1.7576140301566612	0.7848088905792943	1.529797612388607
ZC3H10	0.9502940150227532	1.8483957819566235	0.8089313808386571	1.6633492678008126
RNF114	0.028415300559087416	1.585478818613692	0.556038668263911	1.8337605642498565
ZC3H15	0.10549978240349872	1.9985464550247434	0.8697002886519709	2.327156647600396
ZC3H14	0.0	1.598999579574023	0.2544811729569913	2.5220510446809814
RNF111	0.7892785558782324	1.3409560207413165	0.7568335418381588	1.7161861829044003
ZC3H18	0.19397614103527905	1.6103015055426353	0.3910316710437366	1.5903326296763989
DHX8	0.04934664597728393	1.6749233054392643	0.5122016422391911	1.6013710680839548
TCOF1	0.26389745271207116	2.0556960972126515	0.25236106085915416	1.9333467017352566
NUP98	0.1706067031884205	1.2850080103476234	0.5233388607047089	1.8082552247830914
XPC	0.12502314076970322	1.6354067330605309	0.5306587602747991	2.1182137497043443
SP1	0.17233368447912054	1.7905946246231692	1.209357184586069	1.758220580722039
GRINA	0.0	0.8154060467346305	0.0	1.0884904624975433
SP3	0.32411435705512204	1.5686636534668679	1.154076448773554	1.7752316921800444
NUP93	0.05880152663061668	1.7028942461312537	0.0	1.9780540370697295
C16orf93	0.8917053499624944	1.801350133434447	0.0	2.0664614833409383
GOLIM4	0.263560425941965	1.653715435102431	0.3276257824086622	1.9426234998274452
OPA3	0.0	1.7851904361368733	0.5837300019429184	2.375936303550317
OPA1	0.08321851047602259	1.7518012069569966	0.36921153060144535	2.1976321654483564
GTSE1	0.0	1.2573885795019377	0.0	0.4025500985399563
SPPL2A	0.0	1.7872640836627753	0.33107969619488486	2.100471410924714
NOP9	0.0	1.7351114272390584	0.5456226026964971	1.8850879362454291
LOC100129973	0.8608203658106244	1.6860246120433868	1.93077913537662	1.839258473801177
MYO3B	0.6907528788022189	1.421310207132936	0.22290309638550068	1.1053090528854375
ATP2A1	0.30738209334606914	1.3268610366274354	0.8370450688400565	2.015302694015
ATP2A2	0.0	1.6940778982902258	0.5611491037225904	1.795327824503032
ATP2A3	0.0	1.2761822694359133	0.0	1.3726095651047232
NOP2	0.07630337429531524	1.50121822383261	0.5091394709786318	1.3391703656084337
ITGA4	0.27815366422686355	1.9324984699113161	0.4996053826645361	2.3659220079672005
ITGA5	0.42752717782469435	1.5582587934628898	0.2810187345544512	1.442791907044218
ITGA6	0.0	1.8872506259015096	0.28477338418296594	2.022883310537677
DENND4A	0.196502498860852	1.4495803412659458	0.5100628748304589	2.089485406120305
DENND4B	0.0	1.0266848510553757	0.0	1.0491092263323842
DENND4C	0.3066583776861817	1.8741242407328373	0.3570097060948783	2.0366096876766027
SWAP70	0.0	1.7538584107121604	0.31193177278052914	1.6308203556606256
PREB	0.0	1.4364996719040204	0.4646057755411233	1.2658816730021176
PHLDA1	1.427420176048266	1.3523320840392679	1.8395321105347842	0.8388795676094283
PHLDA2	0.22751292526684008	0.2870565672459159	0.7104119749620049	0.3006555295397312
FBXL13	0.0	1.08387332716399	0.0	1.5663408308622082
FBXL12	0.4075796191165407	1.5170247566409445	0.6119575177230391	1.4714441615564007
CYP27B1	0.35157302704029386	1.505647112838632	0.0	3.9083408466336444
FBXL17	0.0	1.0489652329890322	0.0	1.383377910503791
FBXL16	0.0	0.8057512650822372	0.172269859538436	0.7798119930881511
FAM169A	0.49006915009699625	1.3943783059570838	1.3568121108185083	2.242352576011886
GHDC	0.0	1.1119794622761392	0.9321149651562043	1.9855493564245001
TPRN	0.0	0.8390446060367526	0.26509389169197023	1.0560901493153485
FAM212B	0.3990451719476066	1.535136706173556	1.9749573578055832	2.048063350867809
GRN	0.0	1.5314899799096782	0.0	1.5296044359270202
ITGAX	0.31535495102772393	1.35820404084615	0.017307128788122662	0.7440658345865084
BCL2A1	0.2759657546940516	2.1124114974670842	1.9484066747944089	1.4620830047018665
HLCS	0.06811015000919167	1.3649366831201393	0.0	1.4982538417752331
ITGAV	0.10994439204619226	1.4918619671665239	0.4849639915798097	2.073148043744086
COX7C	0.2670382697924486	0.8932947379240518	0.7088047489005563	2.171204589261142
ITGAL	0.1432516730756627	1.4872472965709982	0.03715952230109365	1.1668135941265438
ITGAM	0.0	1.820561115276304	0.4781109168347895	1.2436985156467257
FAM134C	0.0	1.421432068715533	0.7245339717173337	1.7835551565671348
ZNF701	1.1620405407121321	1.3638809444970268	1.3586668532760702	1.4742923257951668
FAM134A	0.0	1.9283065583244112	0.0	2.0115790747266846
SMAD4	0.017311121231897778	1.7185414749926402	1.0454953164571452	2.113513643358963
SMAD5	0.5826288433457136	1.6710897111234095	1.3202980162648497	2.5532749108728683
SMAD7	1.7277362589019194	2.226969735993703	2.012991204085504	2.5007154160445224
GOLPH3L	0.19051177478641063	1.1174636404298068	1.7363518803396478	1.6472503821612514
SMAD1	0.635721924841946	1.90553915054695	1.336823463192425	2.0499412743990852
AFTPH	0.5115325635666746	1.79579466946495	1.1981742170403473	2.4871520664019537
SMAD3	0.0	2.009751870409694	0.462136361482858	2.0380832404037106
MUS81	0.24831271765509424	1.426830238773287	0.0	1.2819042669857952
AMMECR1L	0.6837870481941186	1.761155071537255	1.2002638474752134	1.9340884161613996
CYFIP1	0.03754521403997923	1.412211045306043	0.0	1.7204925100222341
IGF2R	0.11189873480694262	1.532043027387271	0.015424443618224868	1.7418273163583717
PAXIP1OS	0.14785594767503535	1.7992219480759768	0.542304712374508	2.3065331270530094
SLC36A4	0.0	1.639445540828547	0.3193014076688001	2.6596982198607835
