	active_beta1	active_beta2	rest_beta1	rest_beta2
RNF14	0.1375894331856142	1.6616232399444937	1.0198661910326248	2.0968332351197185
UBE2Q1	0.0	1.6961997921752727	0.6798088759132513	1.5551700307598646
UBE2Q2	0.3954984972438916	2.157761420148156	0.6375295019238247	2.4899461860573324
RNF10	0.20591141466371513	1.6086239926462509	0.7050876770278456	1.9621081372258595
RNF11	0.0	1.7865390317027245	0.6418524854501579	2.5191188105489326
C16orf13	0.8664907519793399	0.3359292723887247	0.0	0.5040026562654552
MVB12B	0.11449814874536701	1.8594992710509555	1.1170929085240122	2.1611195391577542
PMM2	0.13491849238720427	1.4782735667290265	0.3565925561882742	1.965090707685545
PMM1	0.0	1.4072069842458315	0.016831568199433933	1.6702406639789014
FHIT	0.5178081498908129	0.6687417269303074	0.7469727828117603	1.4850865286274466
ZNF709	1.1309316386382124	0.9458023990095011	1.4321841343405473	1.6122837742645584
ZNF708	1.0127359802037164	1.739453041848517	1.4256765748558857	2.5567572186063328
ZNF879	1.0628735654951187	2.000348335795085	1.692731091568461	2.4423189871231776
COPRS	0.0	1.8752494138584848	0.3904304320883425	1.4773879103218899
ZNF700	0.4421139402355493	0.8130675421361176	0.8752161505246489	0.8706923943100168
ZNF707	0.2911637302196008	1.7984399206211037	0.9227684802887267	1.6677571886712834
ZC3H10	0.9911198941198479	1.889221661096886	0.946890967376039	1.80130885806458
RNF114	0.06924118413942366	1.6263046780339157	0.6939982562701865	1.9717201516695404
ZC3H15	0.14632566126892824	2.039372333494718	1.0076598745538505	2.4651162342478052
ZC3H14	0.0	1.6398254752627455	0.39244069886857563	2.660010262824729
RNF111	0.8301044344709372	1.381781899120703	0.8947931296661805	1.8541457705101576
ZC3H18	0.23480202005489406	1.6511273781414553	0.5289912589432535	1.7282922182932587
DHX8	0.09017252800418118	1.715749147357861	0.6501612305627938	1.739330653733522
TCOF1	0.30472333149252756	2.0965219758544675	0.3903206493164232	2.071306290479138
NUP98	0.21143258139817733	1.3258339060148374	0.6612984436976537	1.9462148071039083
XPC	0.16584901967063673	1.6762326071599605	0.6686183468344226	2.256173336760756
SP1	0.21315956322807128	1.8314205030247064	1.347316772463403	1.8961801666633777
GRINA	0.0	0.856231920996469	0.0	1.226450276711018
SP3	0.3649402363542614	1.6094895324428034	1.2920360363463221	1.913191280626928
NUP93	0.09962740597632858	1.743720129135911	0.1207075235796617	2.1160136230845636
C16orf93	0.9325312282505432	1.8421760116958925	0.0	2.204421140661472
GOLIM4	0.3043863055404657	1.6945413085925103	0.46558537080423323	2.080583088713394
OPA3	0.0	1.8260160424385	0.7216896070108819	2.513895882267848
OPA1	0.1240443893583247	1.7926270854387927	0.5071711194648637	2.3355917529013475
GTSE1	0.0	1.2982142249201492	0.059964871486691836	0.540509635246246
SPPL2A	0.025502066835615636	1.8280890043293618	0.4690392844739231	2.238430998344121
NOP9	0.010120977640922303	1.7759373101037885	0.6835821847530408	2.0230475439012072
LOC100129973	0.9016462654905013	1.7268505280068962	2.0687387244798447	1.977218025111539
MYO3B	0.7315787490572204	1.4621361099649508	0.3608626983484615	1.2432686410182991
ATP2A1	0.3482079712014371	1.3676869178061741	0.9750046588828776	2.1532622372533474
ATP2A2	0.0	1.734903573090005	0.6991086908838788	1.933287413110015
ATP2A3	0.0	1.3170109127075713	0.0	1.5105699268348125
NOP2	0.11712925318631161	1.5420441162848526	0.647099059030026	1.4771299530625819
ITGA4	0.31897954271950646	1.9733243478975513	0.637564970717587	2.503881597091011
ITGA5	0.46835305625753265	1.5990846709471966	0.4189783227611151	1.5807514951439008
ITGA6	0.0	1.928076443624702	0.42273297668110205	2.1608429226466592
DENND4A	0.23732837767483445	1.4904062085775338	0.6480224625716856	2.2274449942770795
DENND4B	0.0	1.067509671482124	0.0	1.187069026602597
DENND4C	0.3474842565108925	1.9149501175760122	0.4949692943216204	2.174569274678146
SWAP70	0.0	1.7946512897720126	0.4498913598699602	1.7687799428532953
PREB	0.0	1.4773253182804302	0.6025653629063057	1.4038412525874238
PHLDA1	1.4682460543702436	1.3931579629789366	1.9774916975877899	0.9768391598766178
PHLDA2	0.24970074092558336	0.6891357368961584	0.8543080524364562	0.7535980931876102
FBXL13	0.0	1.1246992079495275	0.006225622944679795	1.704300504620862
FBXL12	0.44840549659207213	1.5578506022126501	0.7499171050037685	1.6094037482249997
CYP27B1	0.3923989057940276	1.5464729912845523	0.0	4.046300261432809
FBXL17	0.0	1.0897902559711388	0.0	1.5213378621848217
FBXL16	0.0	0.8465770981238772	0.9676968457950889	0.8026829566126978
FAM169A	0.5308950250371632	1.4352041779541078	1.494771698284281	2.3803121633012565
GHDC	0.0	1.1528036751091377	1.070074566398761	2.1235089497361996
TPRN	0.0	0.8798685253252193	0.40305347949232495	1.1940497315231653
FAM212B	0.43987105097235846	1.5759625896257878	2.112916945456345	2.186022938291499
GRN	0.0	1.5723158600737215	0.0	1.6675640247897756
ITGAX	0.3561808183021249	1.3990299460059334	0.15526671065471523	0.8820253283646401
BCL2A1	0.3167916335798023	2.1532373705854018	2.0863662624006825	1.600042591656531
HLCS	0.1089360304790391	1.4057625603670576	0.0	1.6362149705359554
ITGAV	0.15077026971107493	1.5326878469671015	0.6229235835031938	2.2111075720797007
COX7C	0.3078641435001991	0.9341205581513625	0.846764335807924	2.3091641803745993
ITGAL	0.1840775519183055	1.5280731759720894	0.17511911107487454	1.3047731780691476
ITGAM	0.0	1.8613868023832951	0.6160705050489048	1.3816581032229074
FAM134C	0.01861343458300675	1.4622578657155259	0.8624935603149111	1.9215147401150803
ZNF701	1.2028664200008266	1.4047068216750012	1.4966264361571118	1.6122519137197753
FAM134A	0.0	1.9691314594440634	0.0	2.149537514589735
SMAD4	0.05813699986021177	1.7593673544946016	1.1834549040067235	2.2514732310848884
SMAD5	0.623454720862011	1.7119155715234338	1.4582576038388788	2.6912344982166663
SMAD7	1.768562142346841	2.267795613920669	2.150950795901613	2.6386750079472447
GOLPH3L	0.23133765486112742	1.1582895278849552	1.8743114676566301	1.7852099696713173
SMAD1	0.6765478042434284	1.9463650324939847	1.474783048592194	2.187900859710951
AFTPH	0.5523584398905116	1.8366205360459071	1.3361338059480634	2.6251116540308406
SMAD3	0.0	2.0505795617228966	0.6000959496746723	2.1760428303255144
MUS81	0.2891385976085668	1.4676561318315169	0.0	1.4198663104547695
AMMECR1L	0.7246129268288467	1.8019809492231058	1.3382234354650304	2.0720479969839
CYFIP1	0.07837109082242796	1.4530369411898	0.0	1.858451733774514
IGF2R	0.152724613737811	1.572868903742998	0.1533840324696293	1.8797869038329476
PAXIP1OS	0.18868182664897437	1.840047810215543	0.6802643004157672	2.4444927145886064
SLC36A4	0.0	1.6802718946320825	0.4572609842169517	2.7976578618404804
ZC3H13	0.13179702928455236	1.4084223514393002	0.9187840591315329	2.166709306207663
SLC36A1	0.02491239051020926	1.2980218890617994	0.22246206833903198	1.8170633359301367
ERICH1	0.1699047602081028	1.7411523918700538	0.6458393972868253	1.5941548377332488
C14orf119	0.0	2.146798179629388	1.3086633468104376	2.570911534573976
HERC2P2	0.06579227410652419	1.0751787666173047	0.0	1.2681473909205143
HERC2P9	0.3075308681565744	1.2501797337104303	0.25410468560278165	1.3947951598979618
KDM2A	0.8601281867526327	1.925791169821708	1.1320974446837933	2.2426488745072346
COX4I1	0.12386688967113733	2.0648385472424495	0.44168557896256416	2.232166545705932
BFAR	0.35207538229561086	1.4148615997486316	1.1284927972408871	2.065637003990171
CRTAM	0.7616796825990155	2.1727152572209336	0.3549127156472735	1.6249560733147645
ABCD2	0.488463626389279	1.3408065033151577	0.8778461469826645	1.8057004433691382
CCDC117	0.48947829065796294	1.420707146422554	1.9297824735673512	1.8446120655472655
CCDC115	0.0	2.0585296608410264	0.02860593872536497	1.9697764203592747
CCDC112	0.3850625940051243	1.960019940302109	1.8201615183383129	2.2014125871414723
MCF2L	0.0	1.1302906044093475	0.14253227850816708	1.2571547124382625
CCDC110	1.3554007396218393	0.858482203311396	0.17332250373720517	1.5119586652257986
LEO1	0.21046739367555176	1.6311304660011805	1.4367646966671281	2.0826423313974987
LINC01215	0.16557954474354458	2.2374800632617835	0.8712630344276587	2.4354340809914303
ATP1A3	0.01971242723237211	1.7159104612879348	0.0	1.830614662025047
ATP1A1	0.08298399800257576	2.043329499071202	0.2617098852510709	2.122459744302034
MGRN1	0.0	1.2959129521504282	0.0	1.5606110994885696
CRTAP	0.0	1.4905840617194859	0.10717832240038193	2.2225343894240144
C2CD3	0.2830448023214406	1.3649700198740553	0.3705066716954413	2.0741787664734885
SPHK1	0.0	0.7556008946753652	0.6371859253753376	0.007980483647806347
IPO11	0.3370174985216383	1.707573734931155	0.6251155034205924	2.2999611937149784
CUEDC2	0.0	1.3607053211724347	0.0	1.5226232646666331
IPO13	0.13242377913525108	1.058333374863847	0.0	1.503753771096615
CPEB4	0.8259584635914263	1.8245925801090557	1.1746416752480848	2.2009234698397133
CPEB3	1.2238095843360626	1.4514344281686722	0.6206188883070651	1.871727789692987
CPEB2	1.1910453802192191	1.662507263717511	1.5749003453785795	1.9814792914617325
SRBD1	0.6279197656011796	1.9500842136994592	0.12442345482844892	2.23045748711844
ABAT	0.0	1.5457647218109232	0.1081276870924012	2.168278352714796
ZNF780A	0.6067291184645723	1.6025671821826761	1.3591491893893488	2.7569285141014452
FRG1	0.26083180100079273	2.216806317912291	1.1959583208159492	2.541773073640133
C2CD5	0.037065065328782475	1.3340313158081891	0.0	1.7832180615332334
IFT80	0.5259650767020809	1.5988099517032535	0.0	2.301518167179768
IFT81	0.5431489530429032	1.28911420693204	0.3324390747740131	2.4103414901069686
IFT88	0.16282509227572653	1.4285769178332137	0.10398597287803722	2.026132344445686
SP2	0.0	1.7736468658668865	0.8031291245784266	2.201881745598683
MCM10	0.1767664078928602	1.3782945788879806	0.17561102646011548	1.6688661251888064
SP4	0.4539061830183872	2.192874518183796	1.4614672761247898	2.68049416653907
ATG4B	0.0	1.1483561808700027	0.0	1.4734109630984182
ATG4D	0.10561843869077343	1.9044101328507068	0.7307068544442794	2.0990420657612554
PNP	0.005933171991820382	1.592547447200556	1.5993016724865363	2.184782391024238
ANKFY1	0.3540795721868059	1.5887656550091074	0.0	2.1224084653251696
PNN	0.39815559414184815	1.977578358435472	1.4466639695000987	2.6512099068238504
ATP6V0E1	0.0	1.6687837816227373	0.3120744582311704	1.8949834648449413
DYNLL1-AS1	0.3531265491077736	1.116887179626795	0.9423597346742862	0.197507796522027
SIDT2	0.1555350712869713	1.4437496982691818	0.0	1.9373439126338898
ADCY10P1	0.0	1.0018253094611282	0.5807959184730732	1.5801267795275868
SIX5	0.6539208608369571	1.5494982674271989	0.025215932722209455	0.9682211609348231
CNPY4	0.3598457944939512	0.8845813655524094	0.2552947037630723	1.191522208642451
HMG20A	0.033462849668310285	1.5889690678747996	0.5388699627805653	2.3064797717589496
HMG20B	0.0	0.7195924972049725	0.5054412580108948	0.6017698122876748
AAGAB	0.0	1.8516740507987466	0.5257453544565832	2.4501424322627927
SCYL2	0.1374622082915386	1.4680985469516394	0.5358118785756901	2.196675314548626
SYNJ2	0.21748096407081557	1.7454207610875578	0.5169605563835312	2.0761348770034314
ZFP82	1.5552690573121297	1.4953232024598897	2.111125984923703	2.1265483182687395
CHFR	0.23763539177519927	1.4590119395134966	0.2621458081640651	1.8505303313023862
SMDT1	0.296448465649801	1.961706110870966	0.4086995798922783	2.683152393321699
RFX5	0.2946254258555766	2.079166779176854	1.27349953650195	2.34976971811066
APP	0.0	1.929527384444702	0.0	2.18115869782362
RFX3	0.8086809712523522	1.8313057217401778	0.7838869638983362	2.4786584123704993
YDJC	0.28249103930028047	0.9609875223149503	1.235779586299748	1.3460152005026165
IBA57	0.3247031816434735	2.5953391654014557	0.9197865264720346	2.4849085207066715
APC	0.49094953184109197	1.4955498348988772	0.3835848502192313	2.182616764002229
ABCE1	0.06704408032753378	2.252351015821135	1.1706904695788778	2.569801989714665
UQCRC2	0.10320738047306154	1.5379179216665921	0.31279662867543984	1.780542728166174
XPNPEP1	0.19287864168405153	1.718402766000379	0.6000233539947702	2.013361824128201
UQCRC1	0.0	1.4094466126834584	0.46202492392434086	1.4819094581932861
GGCX	0.0	1.6826565286562096	0.8069203763065192	1.8952833120107118
ADNP	0.3356752344148378	1.4741153948774515	0.9659506696638972	2.453490293404974
ZNF57	1.4785869420501152	1.053538025325493	1.44803961029787	1.0730255498536105
KHDRBS1	0.0	1.8257659012438956	0.06045595798260607	2.160569013294237
GGCT	0.008455822721022094	2.027554466498624	0.0552190737810434	2.495952090150466
MSL3P1	1.4653011223913457	0.528308111716059	0.6407167975594948	0.28158737944281487
C11orf1	0.1751794557876414	1.0471491409386822	1.2010416668279853	1.8801480018920746
IGFBP4	0.0	2.269825807858408	0.5971048605741358	2.127696993862538
SKP2	0.1256411144955248	1.4877763335426533	1.1379965913162586	2.338476221338445
CYP2R1	0.4477667877333046	1.37094933346369	0.71396485915189	1.8396436161103937
PMS2P9	0.6907695749170554	1.2689635164154083	0.5546869625104296	0.9009387666776041
PMS2P1	0.5405992876569469	1.4039047355991736	0.7420779566219341	1.6723342512824537
PMS2P3	0.8595496268011061	1.8170560273031056	1.3203872968758334	2.3925020815176508
PMS2P4	0.9211338621868579	1.8759173698684415	1.121695701606968	2.3342606915122115
KDM3B	0.10616645834201231	1.629581859996647	0.4748528966751089	1.9469189351165443
KDM3A	0.15606298716168293	1.8784975006958848	0.5251154102085953	1.913556021563061
NIF3L1	0.3490944917186866	1.850777962914491	1.0380634721710225	2.537408050817398
TMC6	0.0	1.178605006999062	0.0	1.334097585398535
EIF2B4	0.19941978455407064	1.5451110669160077	0.5304969859560155	1.893862966119689
EIF2B5	0.2447629196006273	1.81380361689614	0.29563928284788954	1.8515695923188416
TMC8	0.0	0.8447116108401962	0.3103702802973707	1.0746302665854415
EIF2B3	0.5375767608508552	1.6601485270043557	0.6706129454319529	2.2104790791182376
EIF2B1	0.04801124636302507	1.5097503520155031	0.5921446450061666	2.1223762891826694
PRKAR2A	0.0	1.4423781132958569	1.1074466102323348	2.067588092775925
PRKAR2B	0.0	2.1371841563085443	0.18474860283667016	2.65146013030371
MAGT1	0.0	1.55254417714683	0.0	2.2692765320742554
MLF1	0.0	1.530574256782425	1.3840895675562952	1.6253829323378564
IFT140	0.11422873414462241	1.0286817575490999	0.39306506090339133	1.2843632341436555
MLF2	0.0	1.3929165826287502	0.052838090553737664	1.60392764112934
TMEM14C	0.0	1.5346957847741576	0.3453224022371124	1.945307892771556
TMEM14A	0.0	1.2667231220850277	0.0	1.7004178175632432
IPO9-AS1	1.0629670759385246	1.0886971433036157	2.8140267971884145	1.4856596005374756
PHACTR4	0.10263164138744423	1.43416518188814	0.3532801788324511	1.783521501137187
CLIC4	0.0	2.6283543909059746	0.5715134582721305	2.503399714442597
ITGA3	0.0	1.724243168438662	0.0	1.849453530095984
NLGN2	0.0	1.616657847779383	0.2560946170646569	1.4029704372029088
LRSAM1	0.3354168486683369	1.3042585599283825	0.12424307430041287	1.25689958334391
PHACTR2	0.0	1.8728370083359223	0.6431177367722566	2.0979345513183527
KIAA0020	0.22424843811041495	1.4223014294722445	0.3224292295687272	2.245413460098358
TMEM147	0.0	1.5430275338742032	0.0	1.8546910324639034
TMEM143	0.29302488802331583	1.364432570320545	0.4060275785062809	1.6044138771380438
RIT1	1.1634834892023842	1.411115182363891	1.6599102228559035	1.7451924363002727
TMEM141	0.0	1.570040151404701	1.5123546103007188	1.2221503833914351
SF1	0.043386165730155066	2.2100807332207846	0.39537193514468455	2.2904378461552906
API5	0.0	1.3411752318780705	0.0	2.013124004468609
RTKN2	0.5114443561164115	1.7137774635172964	1.465850866625616	2.111729235717073
SECISBP2L	0.09872683241590915	1.420284420395825	0.6604613295028997	2.191681147850026
PKD1P1	0.0	0.9221929557225925	0.0	1.1768276142400416
FAM32A	0.14446454156592206	1.2006020729871623	1.751679858771997	1.373125461982136
KIAA1191	0.2624370032201795	1.6806552328701805	0.8796781228713756	1.9137742920868568
ALOX12P2	0.5977494683438688	1.6491000949472963	0.7017319026537283	1.855376368636869
VMP1	1.0231429602826252	1.587026971921744	0.7174752637879004	2.662858780619085
ZMAT1	0.36821610918101483	0.7184830916729247	0.4422744247846329	0.7738297393769317
ZMAT3	0.0	1.3922209477983647	0.2867523713018949	2.0581236550898545
ZMAT2	0.16787844913555575	2.1017012766662404	0.521091781115746	2.326572858182746
C19orf24	0.0	1.2067452223247892	0.0	1.350342188868266
MYBL1	0.1935793207309614	0.7115499176102736	1.0496738455174983	2.157306119328363
NR1D1	1.2072973429926273	1.5963984941103049	1.1462492965041569	1.681801818632079
NR1D2	0.6317847574574437	1.9257751434899828	1.2939781535816022	2.2727482893306132
MYBL2	0.3598272966217955	1.4298102060646987	0.0	1.441161490572472
ZNF2	1.3269741477534651	1.2220392952435235	1.6404185276029033	1.8780917988444927
ZNF3	1.1501330793655065	1.3573589764091492	1.3967351043317426	1.614983269220312
TIPIN	0.31981259560973413	1.781640741626872	1.0041166249998343	1.9912226614353827
ZNF8	1.0851848195017204	1.4987409296744165	1.470112046814734	1.9019125127997831
ZAP70	0.0	1.008445239148418	0.0	1.4003404401018336
UFSP2	0.22904177303524767	1.645789379845626	1.0136388444461841	2.3582819278234797
OGFR	0.0	1.3782667921945722	0.3990239716953362	1.438716707461715
CDC5L	0.12404427488197524	1.5630047568487482	1.2344138170854524	1.8442631688836628
RAC2	0.0	1.3058575788170825	0.0	1.250656508720635
RAC1	0.0	1.53027960192643	0.8446833450209584	1.7521254002383175
SBDS	0.2118298420610049	1.6170561667659924	1.7488644426241131	1.5964571448206897
VCL	0.03000033850039201	1.8990367646618957	0.5531481562728723	1.8775674657407875
MRPS18A	0.1635830558565156	2.273577887597487	1.3932158546557307	2.3059877121707024
VCP	0.010744105553252531	1.7665314940840389	0.5651167199445054	1.849445962922099
AP2A1	0.0	1.1715291435764108	0.0	1.160813116992536
AP2A2	0.12439225039855738	1.0525336285595277	0.0	1.3699379618493248
MRPS18C	0.2378448642094542	2.1697088478959152	1.2919357828112268	2.7055738921781107
NSUN3	0.6731419791418962	1.7906032338879057	1.174296278500919	2.302247140469286
NSUN2	0.0	1.5901466480516782	0.445613288774926	2.1039678873436505
NSUN4	0.5161800174394199	1.660437136322045	1.3608190118013488	1.9077429635086756
NSUN6	0.7053567229989106	1.209080413627044	0.4850049143309462	0.7844167467355209
TUBG1	0.0	1.7348356649151162	0.8162610644331393	1.023921762806867
TUBG2	0.0	0.8892663709202332	0.6228286080245851	0.7943916677328409
PTCH2	0.0	0.9877219996992586	0.0	1.2322816127725347
PTCH1	0.33494482386272617	1.9157596683408866	0.47405071476121047	2.104767236681848
TIMM44	0.3380308891973785	1.4217655307877928	0.5275849253518141	1.522987016630012
TUFM	0.0	0.8786132179058062	0.0	1.1399827676080896
RAD9A	0.2151184422598256	1.628618313153088	0.28815426520081894	1.6234093916187688
RRP7A	0.0507758130689608	1.784766706603903	1.0775483886254378	1.9924997348962938
RRP7B	1.2572405877426085	1.3778698410859584	0.9063653349919459	1.3058111190156785
B3GAT3	0.09631538475382263	1.5572074458119107	0.7077586771359544	2.0069351615122795
FAM66B	0.0	1.8522517857205318	0.5649929968716406	1.0999606299824922
UXT	0.16645809267707487	2.0979085366662846	0.17136782161789554	2.6309369095137463
CALM2	0.0	2.3656756194720017	0.36439949846209013	2.7986975931370814
CALM3	0.0	1.9780084775750983	0.0	2.2016565602624616
SPG21	0.0	1.2712324527811787	0.0	1.2194198821143862
CALM1	0.0	1.7529855593800066	0.819435423237354	2.001348954748707
GSDMB	0.27198047057238384	1.2247962241020902	0.0	0.7239478464214129
GSDMD	0.005705321870966922	0.5711739261547424	0.0	0.1087914705793376
DLGAP3	0.02703666362258604	1.821595028686941	1.084570751655969	1.2748701566650034
MBNL2	0.005126808253039173	2.2619556781380306	1.0347081198172714	2.6796630561558823
MBNL3	0.0	1.719865640505722	0.0	2.1753635166618484
A1BG	0.619242801402926	0.34041039125103	1.33738420332395	1.378812338172598
CLCN3	0.44475004731520723	1.4862019993674005	0.738715411626912	2.006398863890988
HRH1	0.06853170320919022	0.5774857038896465	0.9610109022897261	0.7816677358970175
CLCN7	0.0	1.0165186652187057	0.0	1.0205682227088562
BRD8	0.31515067533386215	1.2595362644751087	0.41556540163065053	1.3883511498156809
BRD9	0.21277429934172273	1.368903869071086	0.33549691511240076	1.752070764704896
BRD4	0.1249318138855154	1.609765576055765	0.6657388186452654	1.8055491117433158
BRD7	0.30428022942815314	1.5720534580836922	0.765718290795303	1.8464170519930911
BRD1	0.43037093826066497	1.5682509962503766	0.4965630166853756	1.7532207401448794
BRD3	0.0	1.4560019003375502	0.6922234555395788	1.5954312145980623
DNAJA2	0.0041739992160306685	1.5956835341270794	1.0364276748567065	1.8388638515682745
DNAJA3	0.0	1.4958969765561045	0.3883580719742154	1.553030746720643
DNAJA1	0.07293875066012265	1.7290596177603037	1.113743289790587	1.6056340370924758
DNAJA4	0.0	1.2681655445528497	0.10756342576893461	1.7661202335863004
PTPN13	0.468405606282803	2.0975848316137746	0.0	2.0231410440987605
PTPN11	0.0421293732861967	1.4691528751263945	0.9655893269728796	2.146426784076237
LYRM1	0.10891696866947857	1.7556522338501213	0.328344298522012	2.236564003335243
UTRN	0.034556102542901056	1.499056453823653	0.44203409754963907	2.011350887625846
LYAR	0.09280255635963887	1.5917559198499207	1.2207244607958498	1.5384167554001094
CSF2RB	0.3608623820280184	1.4444567292786734	0.04851548128909597	1.2509856795932588
MRPL24	0.5570027626523696	1.7917835261829465	0.0	2.068103776104749
MRPL27	0.47442119826433565	1.7125148815212823	1.4634404556879943	1.9282817266213241
C16orf70	0.34790260896559	1.4648560369196353	0.7867343662641322	1.6831468662392954
MRPL20	0.23121838007583748	1.723398737332709	0.5329130972604113	1.8545845875146207
MRPL23	0.0	1.8651797887069277	1.0551457221955924	1.8629264601860198
FAAH2	0.3601333242422662	1.3111731988501303	0.6042318524436212	1.8960574169805693
MRPL28	0.0	1.0879263188437898	0.5316518774425055	0.7336202734121863
LOC100506844	0.14887547078355812	2.2115240692157063	0.0	2.8448303369162415
GAB1	0.9015165629089774	1.2969790229899516	1.0897328261291117	1.3121374329085262
ZNF852	0.5112669709132484	1.1016174018736176	1.489636799867272	2.4754813235625046
NPTX1	0.5646734088338564	1.459434324457425	0.0	2.1584505853341924
ZNF850	1.3362980643640259	1.7433369908383896	1.5044658711660226	1.7288955323646287
NDRG1	0.0	2.2780441792551693	0.5227740735877439	2.294707680801842
NDRG3	4.4339765100722425e-07	1.3226836446612613	0.515483582151156	1.4131968498063023
ZSCAN2	0.22336730015627515	1.0855643812181819	1.1801537016591732	1.5688959910026694
SRSF5	0.2477120774819001	1.3424413441996867	1.7517898443891178	2.0806108142481126
SRSF4	0.0	1.8943518188602575	0.8786676920117759	2.126146095702457
SRSF7	0.10112828022038312	1.9409655422454586	1.031919476890431	1.861280734691657
SRSF6	0.06554552569450187	1.4569610341841166	1.3917140361100784	1.5631895020573925
SRSF1	0.14430939577805937	2.308024273550355	1.032595588462612	2.695462368443708
SRSF3	0.0	1.6685150315942485	1.3305201802296767	1.9754472590632466
SRSF2	0.2722706233117468	1.28708090392024	0.7130660089713144	1.9193147808071196
SRSF9	0.0	1.8233776445399852	0.3643490373638631	2.040550585925925
TRAPPC6B	0.19112762453259854	1.2508028622908463	0.6600657451258787	2.1734608223938423
DNAJB13	1.400514365851845	1.0883785314648144	0.7260000163012791	1.4001112995843992
DNAJB12	0.0	1.8822316490562463	0.44148634517385926	2.2096296425709196
DNAJB11	0.0835801718442991	2.0733984907415213	0.7442593212833339	2.230485213602855
RNF138	0.25542609706776437	1.427390948901241	1.3627467430461244	2.2487597608342265
RNF139	1.1863354977766616	2.447252843634255	2.1455623518603697	2.8273188478601012
CLNS1A	0.19883898461201852	1.5113677383374635	0.5973452979737961	1.8363568887493569
SUPT20H	0.3493457582409777	1.289698753761383	0.5604902433109202	2.190849007859882
GID8	0.0	1.0797313342709023	0.2998044384678079	1.5410740195285424
VILL	0.04543261034428131	1.516012271464576	0.1722207875433651	1.3172368571055288
ZNF581	1.3493843447097977	1.6943295457562135	0.8051145411165402	0.71341495858708
ZNF583	1.2910157948891678	2.350838254159112	2.056613170682408	2.3862544870866436
ZNF582	1.2539016511462309	1.9032487171716799	1.1709585804269116	2.54070688809912
TIPARP	1.9729184183732424	1.9435426969586478	2.204962776364127	2.3230129457792286
ZNF584	0.43443501475425594	1.0771366119137271	1.2604426099761996	1.2977494837734067
ZNF587	0.3264671703864293	1.2789703028617763	1.1345424343202024	1.8833988819078151
ZNF586	0.9541348811954383	1.477241077229902	1.5990068817945904	2.0394726337921716
ZNF589	0.5592773231508945	1.1515075263573422	0.7300810382774989	1.0733159290212086
LOC643733	1.2471512642976135	2.328445299344387	0.9376641468865483	1.9698184103529528
ASUN	0.13475344363185274	1.6031009004868815	0.5880587750584586	2.0432501503803047
CAMKK2	0.1797709383212245	1.9033166976870015	0.8209356389927817	1.9275712787870363
CAMKK1	0.5363232990636024	1.7991897404334705	0.9028403781264153	1.732580794840706
MYO1G	0.0	1.4556201293313478	0.0	1.5914553867937076
MYO1F	0.0	1.0887655872048045	0.08912514859395507	1.0935809655085447
MYO1D	0.13939862020101795	1.7302905189917508	0.11230572056488823	2.141901633997767
MYO1C	0.13073786812506363	1.7501880726580221	0.0	1.6278779714866622
MYO1B	0.0	2.122892655497893	0.0	1.612351760490257
MYO1A	0.2835481325571093	1.3471676522263865	0.4548586598010553	0.9631727416737236
RPL36AL	0.35892601017215475	1.8362747896144382	1.1929160873877882	1.7823622704781656
CHMP7	0.041528194737053895	1.5127660839781727	0.7083420522770245	1.8832154592129935
CHMP6	0.10548121135611695	1.6613174501564	0.2106548905047026	1.1585512601672925
CHMP5	0.0	1.84076696354891	0.8803617503457694	2.009656007034285
DENND6A	0.6504775210072973	1.2293582935455365	0.7969467941095498	2.1360483502643706
PGBD2	1.4833698208808543	1.6038452160408596	1.098073532470855	1.8002478195953984
CTPS2	0.1748166780258376	1.3103502656782176	0.17781219899118716	1.694988019713852
CTPS1	0.130119855154472	1.7346646400129972	0.5925486725572517	2.1411266742675634
ZNF674-AS1	0.711084019816721	1.6532020999349448	1.966062355821072	2.2222890116043295
ZER1	0.0	1.8493675819438555	0.0	2.1558653948407156
CEP57	0.14545752396490405	1.6350500514508823	0.1393974085766609	2.118883875730828
FAM160B1	0.2634759173361613	2.1351266253805368	0.8130705964169178	2.1684663640963344
FAM160B2	0.0	1.1216243374792048	0.0	1.420383869039628
SRC	0.04886916710224749	1.5627921311859312	0.020147361746300146	1.7917915847953496
NEMF	0.4935830529486695	1.716422112085935	0.6680170112297477	2.1499587457149447
ZNF326	0.6805843070538048	2.0371551256572227	1.1698501525708245	2.2888118166021343
SRF	0.0	1.665308702806961	0.9744915878101114	1.7158987026398822
FAM214A	0.6421551598782598	1.6317311070866432	1.0608405377849848	2.3478770949285708
FAM214B	0.9330958352320669	2.410572069700396	1.2295328282488165	1.9710621434791755
SRI	0.22949314995979866	2.591127357627266	0.0	2.880542165421066
ZNF329	1.87280227921947	1.6572623362053756	2.2360489956787815	2.0250140395194056
SRM	0.09024838312913286	1.3425550346020576	0.03105245111666671	1.3156108852596893
LGALS9	0.0	1.4437860824973525	0.08593004416842913	1.7670307375287775
LGALS8	0.13037953691667117	1.8545867917066516	0.7056143414007766	2.0123500309807754
