1.NAME	2.Length	3.Num_Peaks	4.Num_Reads	5.RPKM
Mrpl15	16529.0	7	150.0	1.25053661873
Lypla1	42843.0	5	813.0	2.61494407858
Tcea1	44216.0	6	756.0	2.35610194603
Atp6v1h	83377.0	4	586.0	0.968507716818
Rb1cc1	65443.0	11	1555.0	3.27430346447
Fam150a	39401.0	1	33.0	0.115413983138
Pcmtd1	88709.0	6	2243.0	3.4842822146
Adhfe1	33923.0	4	1913.0	7.77092024522
2610203C22Rik	74260.0	1	17.0	0.0315461025322
Vcpip1	29186.0	1	15.0	0.0708220371786
1700034P13Rik	27609.0	7	2897.0	14.4593760432
Sgk3	58288.0	10	1446.0	3.41854163107
Ppp1r42	44515.0	8	376.0	1.16394698924
Cspp1	102551.0	6	1586.0	2.13115490223
Arfgef1	99164.0	2	45.0	0.0625331363326
Cpa6	399227.0	2	51.0	0.0176036208025
Slco5a1	128586.0	5	284.0	0.304352159382
Prdm14	17736.0	1	17.0	0.132082407197
Ncoa2	238925.0	56	2506.0	1.44534394045
Tram1	29163.0	5	297.0	1.40338227022
Lactb2	38611.0	1	15.0	0.0535342772032
Xkr9	36953.0	5	929.0	3.46431796556
Terf1	42407.0	6	937.0	3.04476497204
Sbspon	42861.0	4	109.0	0.350441824352
Rpl7	7139.0	1	18.0	0.347445632794
Rdh10	30669.0	10	1241.0	5.57601457188
Stau2	294493.0	4	79.0	0.0369661183096
Ube2w	82551.0	4	118.0	0.196975133188
Tceb1	18101.0	2	268.0	2.04025269271
Tmem70	17085.0	6	1421.0	11.4612194691
Ly96	25150.0	3	677.0	3.70938928693
Tfap2d	67311.0	1	16.0	0.0327556086757
Pkhd1	564279.0	2	43.0	0.0105008946538
Mcm3	21200.0	1	16.0	0.104000602621
Paqr8	52135.0	11	1688.0	4.46164280852
Efhc1	43216.0	8	1146.0	3.65419555373
Tram2	81829.0	7	358.0	0.602875335802
Tmem14a	15593.0	4	852.0	7.52942219579
Gsta3	28991.0	1	26.0	0.123583897082
Gm4956	17067.0	6	163.0	1.31607957761
Kcnq5	567540.0	17	637.0	0.154665941832
Ogfrl1	20752.0	4	486.0	3.22721607835
B3gat2	89933.0	3	76.0	0.116451810614
Smap1	80757.0	11	1038.0	1.77120532975
1110058L19Rik	13702.0	5	520.0	5.22963182061
Fam135a	93584.0	4	91.0	0.133995903798
Col19a1	333755.0	1	15.0	0.00619320153135
Lmbrd1	141764.0	5	151.0	0.146778593786
Phf3	64915.0	14	1772.0	3.76158075782
Khdrbs2	488933.0	1	18.0	0.00507311711935
Prim2	219987.0	18	1938.0	1.21397149577
Bag2	16267.0	4	538.0	4.55749859092
Gm15455	7016.0	1	18.0	0.353536826185
Bend6	59570.0	3	45.0	0.104096624665
Dst	27574.0	2	128.0	0.639678762767
Arhgef4	15033.0	1	214.0	1.96164244484
Fam168b	33833.0	1	22.0	0.089605342902
Hs6st1	42047.0	14	1066.0	3.49360599263
Uggt1	108275.0	32	2644.0	3.36499941041
Neurl3	12824.0	2	126.0	1.35393797626
Arid5a	20297.0	8	442.0	3.0008352429
Kansl3	37452.0	1	17.0	0.0625497589993
Fer1l5	53820.0	12	1726.0	4.41925266006
Lman2l	26054.0	3	127.0	0.671708812699
Cnnm4	41180.0	12	1305.0	4.36692671217
Fam178b	124488.0	11	1919.0	2.12421865778
Cox5b	5902.0	4	234.0	5.46346778087
Actr1b	14724.0	9	841.0	7.8708551695
4933424G06Rik	47423.0	8	528.0	1.534251768
Zap70	25023.0	2	35.0	0.192743793572
Tmem131	151339.0	33	1868.0	1.70089594584
Cnga3	49107.0	15	1041.0	2.92118498809
Inpp4a	39226.0	7	890.0	3.12656683427
Coa5	17019.0	8	547.0	4.42899328778
Unc50	12953.0	3	74.0	0.787250759438
Mgat4a	101065.0	15	1010.0	1.37712171828
4930594C11Rik	6755.0	3	108.0	2.2031807898
2010300C02Rik	112136.0	9	292.0	0.358830644522
Tsga10	114511.0	12	2626.0	3.16008852241
Lyg1	15022.0	1	26.0	0.238504910152
Rev1	80877.0	8	870.0	1.48233360129
Aff3	491629.0	30	1627.0	0.456038799818
Lonrf2	30707.0	1	15.0	0.067314031885
Chst10	38288.0	3	63.0	0.226740762218
Nms	15128.0	3	130.0	1.18416868069
Pdcl3	13423.0	2	83.0	0.852079734281
Npas2	172969.0	11	907.0	0.722588002561
Tbc1d8	111251.0	21	1723.0	2.13419003666
Rnf149	30049.0	2	42.0	0.192606527201
Creg2	36777.0	6	182.0	0.681941031679
Rfx8	59689.0	11	515.0	1.18895292623
Gm3646	5192.0	1	15.0	0.398114787576
1700066B17Rik	8903.0	6	399.0	6.17572937108
Map4k4	129398.0	20	654.0	0.696469205098
Il1r1	95098.0	9	350.0	0.507163972592
Il1rl2	44845.0	5	220.0	0.676021310381
Il18r1	38849.0	2	44.0	0.15607184568
Il18rap	40344.0	1	20.0	0.0683129082257
Slc9a4	54505.0	3	91.0	0.230068299441
Slc9a2	91174.0	10	797.0	1.20458942662
Mfsd9	22618.0	1	22.0	0.134035616164
Mrps9	58451.0	4	122.0	0.287620355746
Gpr45	86578.0	7	672.0	1.06958045432
Tgfbrap1	55354.0	8	563.0	1.40155814467
AI597479	21237.0	5	406.0	2.6344174874
Fhl2	77691.0	8	451.0	0.799940277655
Nck2	128768.0	30	1793.0	1.91877509678
Uxs1	81478.0	14	2725.0	4.60869407495
Tpp2	72965.0	5	369.0	0.696888845837
Tex30	19772.0	6	1054.0	7.34584470921
Kdelc1	16228.0	3	53.0	0.450051905291
Bivm	28804.0	1	19.0	0.0908976243225
Slc39a10	49966.0	13	902.0	2.48761798468
Tmeff2	263748.0	1	23.0	0.0120168432173
9330175M20Rik	119394.0	3	94.0	0.108491842609
Sdpr	17835.0	2	41.0	0.316783444765
Nabp1	12912.0	1	93.0	0.992524338444
Myo1b	170221.0	7	350.0	0.283339185327
Stat4	102941.0	20	2188.0	2.92894130676
Stat1	46428.0	2	31.0	0.0920096655609
Gls	51952.0	1	36.0	0.0954886962008
Nab1	48600.0	3	48.0	0.136099554047
Mfsd6	75015.0	15	1248.0	2.29254677723
Inpp1	32269.0	1	84.0	0.358711675965
Hibch	79815.0	7	192.0	0.331488483453
Pms1	111809.0	10	2280.0	2.81002263251
Ormdl1	17151.0	2	816.0	6.5562038105
Dnah7a	313783.0	10	354.0	0.155462477761
Stk17b	33704.0	14	766.0	3.13183632893
Hecw2	392161.0	21	1421.0	0.499322815451
Mir7681	4072.0	2	198.0	6.70052998469
Ccdc150	122045.0	4	228.0	0.257434405767
Gtf3c3	45391.0	4	688.0	2.08867285033
Pgap1	88685.0	9	1279.0	1.98733969946
Ankrd44	285048.0	54	4256.0	2.05747873446
Sf3b1	46310.0	13	1948.0	5.79650087293
Hspd1	14099.0	1	35.0	0.342082980818
Mob4	27655.0	4	303.0	1.50980444539
Rftn2	60623.0	4	1114.0	2.53220872439
Boll	67401.0	11	2075.0	4.24232069007
Plcl1	352340.0	8	235.0	0.0919089165043
4930558J18Rik	22323.0	4	209.0	1.2901656086
1700066M21Rik	11803.0	3	142.0	1.65785930553
Spats2l	177537.0	18	2035.0	1.57952778797
Aox1	80442.0	1	17.0	0.0291217718858
Aox3	91317.0	4	188.0	0.28369909341
Aox4	62200.0	13	2089.0	4.62806861752
Aox2	104939.0	31	2756.0	3.61904535579
Bzw1	17413.0	3	266.0	2.10503717876
Ppil3	18494.0	2	674.0	5.02204705152
Nif3l1	18644.0	2	674.0	4.98164225331
Fam126b	67528.0	5	528.0	1.07746152105
Ndufb3	13350.0	7	584.0	6.02813979837
Gm20257	7191.0	6	684.0	13.1074601802
Als2cr12	41870.0	18	855.0	2.81394035573
Cflar	23942.0	5	270.0	1.55401451791
Casp8	56130.0	5	242.0	0.594117107259
Trak2	77033.0	7	1138.0	2.03571597448
Als2cr11	48395.0	6	833.0	2.3718992691
Tmem237	23504.0	5	106.0	0.621463778001
Als2	78476.0	10	1334.0	2.34245202562
Cdk15	99463.0	3	106.0	0.146857471001
Gm973	122246.0	26	2239.0	2.5238943424
Sumo1	35401.0	1	24.0	0.093421631122
Nop58	30505.0	9	1153.0	5.20846814094
Bmpr2	117803.0	15	2396.0	2.80273603509
Fam117b	76343.0	6	319.0	0.575802034409
Ica1l	58020.0	12	1905.0	4.52448330043
Wdr12	25040.0	2	250.0	1.37580669402
Carf	49871.0	6	1476.0	4.07840184769
Nbeal1	158107.0	17	1720.0	1.49909474833
Cyp20a1	48016.0	13	1495.0	4.29049053893
Abi2	75545.0	6	182.0	0.331984185877
Raph1	87581.0	16	1106.0	1.74019117287
Cd28	30972.0	10	719.0	3.19897888745
Ctla4	10808.0	1	47.0	0.599244775003
Icos	26407.0	7	374.0	1.95166049263
Pard3b	1007461.0	8	423.0	0.0578580587775
Nrp2	119376.0	8	268.0	0.309363808393
4930487H11Rik	7815.0	1	20.0	0.352657193789
Ino80d	70467.0	13	1320.0	2.5813083285
Ino80dos	47825.0	8	1621.0	4.6706763058
Dytn	68077.0	3	358.0	0.724660103314
Klf7	89717.0	19	4104.0	6.30353753395
Creb1	75745.0	5	764.0	1.38992421986
2810408I11Rik	14791.0	6	1289.0	12.0090074526
Ccnyl1	38298.0	9	1353.0	4.86825631453
Plekhm3	171704.0	13	1500.0	1.2038228446
Crygd	5603.0	1	19.0	0.467288090485
Cryga	6975.0	1	26.0	0.513666058824
D630023F18Rik	21930.0	1	26.0	0.163375319667
Pikfyve	96012.0	2	101.0	0.144959803418
Map2	271255.0	7	228.0	0.115826738869
Unc80	234702.0	11	3329.0	1.9545587942
Rpe	22913.0	1	25.0	0.150352200141
Kansl1l	102353.0	23	4341.0	5.84441360948
Acadl	36471.0	13	830.0	3.13604405507
Myl1	15071.0	1	57.0	0.52117613383
Lancl1	42356.0	3	455.0	1.48029472342
Cps1	112241.0	1	36.0	0.0441980091502
Erbb4	1072094.0	3	69.0	0.00886886326631
Ikzf2	158751.0	29	2084.0	1.80897672467
Bard1	79438.0	6	2291.0	3.97418904431
Mreg	57075.0	26	2496.0	6.02629510273
Pecr	29142.0	7	747.0	3.53226259211
Tmem169	22623.0	1	16.0	0.0974589035746
March4	113453.0	4	693.0	0.841722592983
Ankar	61585.0	8	851.0	1.90417276123
6030407O03Rik	250086.0	7	202.0	0.11130475633
Mir6351	4099.0	3	81.0	2.72307018207
Tns1	218217.0	28	1433.0	0.904918242904
Rufy4	26690.0	7	255.0	1.31656813828
Cxcr2	11253.0	4	108.0	1.32253498934
Cxcr1	6846.0	2	100.0	2.01286588479
Arpc2	35664.0	13	1967.0	7.60021788348
Aamp	8899.0	2	946.0	14.6487869823
Pnkd	6420.0	2	946.0	20.3052266909
Tmbim1	20090.0	1	15.0	0.102887604634
Catip	11214.0	1	20.0	0.245765647357
Vil1	30177.0	3	77.0	0.351614192346
Usp37	112777.0	8	2035.0	2.48654091608
Plcd4	27089.0	7	1659.0	8.43927515474
Stk36	39439.0	3	445.0	1.55484052132
Ttll4	40220.0	1	15.0	0.0513926399079
Cyp27a1	28317.0	2	43.0	0.209253605055
Prkag3	14034.0	9	348.0	3.4170356184
Wnt6	17428.0	3	338.0	2.67251950217
Mir375	4064.0	1	23.0	0.779876566161
Ccdc108	37520.0	1	23.0	0.0844727709189
Nhej1	111881.0	5	1271.0	1.56545628712
Slc23a3	12349.0	5	1271.0	14.1829147995
Cnppd1	11154.0	5	945.0	11.6748928238
Fam134a	9124.0	5	945.0	14.2724413149
Abcb6	12643.0	6	1648.0	17.9621700454
Atg9a	15150.0	5	1600.0	14.5532196407
Ankzf1	11227.0	3	1245.0	15.2811965885
Glb1l	16544.0	3	357.0	2.9735786421
Stk16	8778.0	3	357.0	5.60433869388
Tuba4a	8280.0	8	1408.0	23.4327927838
A630095N17Rik	7560.0	9	1479.0	26.9586482727
Dnajb2	13270.0	4	1134.0	11.7758934038
Ptprn	21168.0	10	731.0	4.75871049148
Dnpep	13073.0	5	3745.0	39.4755595717
