gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	61.0555555556	88.9444444444	0.703317158926	2.54926043634	0.275890665739
A1BG-AS1	chr19:58863335-58866549	1084	2130	13.0	1.0	0.607016013836	0.0237632849042	25.5442804428
A1CF	chr10:52559168-52645435	63695	9221	25.0	20.0	0.0198664717976	0.109783747633	0.180960043959
A2M	chr12:9220303-9268558	40539	4653	167.944444444	24.0555555556	0.209690467979	0.261678726202	0.801327914664
A2M-AS1	chr12:9217772-9220651	692	2187	4.0	10.0	0.292576860382	0.231439400302	1.26416184971
A2ML1	chr12:8975149-9029381	23197	3618	11.25	20.75	0.0245474722817	0.290292367207	0.0845612046842
A2MP1	chr12:9381128-9386803	4261	1201	10.5555555556	9.44444444444	0.125387903214	0.398033373292	0.315018567859
A3GALT2	chr1:33772366-33786699	11486	1023	26.6111111111	1.38888888889	0.117268204235	0.0687191767758	1.70648441581
A4GALT	chr22:43088126-43116876	22714	2092	19.6666666667	2.33333333333	0.04382513008	0.0564548403317	0.77628649417
A4GNT	chr3:137842559-137851229	6300	1771	4.0	0.0	0.0321370138705	0.0	inf
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	54.5	302.5	0.283510886753	8.80971147636	0.0321816313183
AACS	chr12:125549924-125627871	64991	3321	174.194444444	166.805555556	0.135664793767	2.54230536368	0.0533629027044
AACSP1	chr5:178191863-178203277	8614	2173	7.0	16.0	0.0411319454286	0.37268879408	0.110365393545
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	93.0	1.0	0.0285626595472	0.0710896023118	0.401783926459
AADACL3	chr1:12776117-12788726	7758	3832	1.0	5.0	0.00652433576257	0.0660435762604	0.0987883475122
AADACL4	chr1:12704565-12727097	18716	1575	9.0	1.0	0.024339718509	0.0321370138705	0.757373370378
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	12.5833333333	4.41666666667	0.0239748341356	0.110124681151	0.217706275151
AAED1	chr9:99403532-99417599	10269	1225	72.4444444444	249.555555556	0.357077931894	10.3113904504	0.0346294647274
AAGAB	chr15:67493012-67547536	46376	3021	203.0	188.0	0.221558710534	3.14987414997	0.0703389087899
AAK1	chr2:69685126-69870977	151850	21265	1925.94444444	7144.05555556	0.641970449369	17.0045645265	0.0377528309159
AAMDC	chr11:77532207-77583398	40847	504	288.333333333	26.6666666667	0.35728992151	2.67808448921	0.133412490513
AAMP	chr2:219128851-219134893	3467	1793	176.305555556	574.694444444	2.57393890477	16.2234340483	0.158655614903
AANAT	chr17:74449432-74466199	1488	846	1.22222222222	1.77777777778	0.0415751019494	0.106363639288	0.390877016129
AAR2	chr20:34824338-34844863	13907	2486	211.861111111	599.138888889	0.771087866511	12.198669462	0.0632108172873
AARD	chr8:117950463-117956239	3836	1786	0.0	13.0	0.0	0.36842405319	0.0
AARS	chr16:70286296-70323412	24627	3344	145.805555556	398.194444444	0.299673706867	6.02719171806	0.0497202878032
AARS2	chr6:44266462-44281063	9504	4782	69.7777777778	435.222222222	0.371618037076	4.60667494414	0.0806694723595
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	26549	1687	33.0	40.0	0.0629146595321	1.20013744745	0.0524228784512
AASDHPPT	chr11:105948291-105969419	17497	2861	103.416666667	169.583333333	0.299166542292	3.00020816095	0.0997152618231
AASS	chr7:121713597-121784344	59194	5871	264.166666667	140.833333333	0.225884487169	1.21416988403	0.186040265156
AATF	chr17:35306174-35414171	97511	2141	410.777777778	842.222222222	0.213225631455	19.9111391402	0.0107088615048
AATK	chr17:79091095-79139872	9564	5042	4.0	13.0	0.0211693002284	0.130504831217	0.162210854808
AATK-AS1	chr17:79139306-79156964	14641	1577	11.0	2.0	0.0380283973298	0.0641925134382	0.592411720511
ABAT	chr16:8768443-8878432	49568	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	127329	10502	141.5	327.5	0.056249049735	1.57843015302	0.0356360714646
ABCA10	chr17:67144147-67240956	85184	6331	137.888888889	23.1111111111	0.0819327102193	0.184771332315	0.443427609645
ABCA11P	chr4:419223-467998	38732	1895	17.0	10.0	0.0222159595782	0.267101830322	0.083174119591
ABCA12	chr2:215796265-216003151	81680	7895	22.8611111111	3.13888888889	0.0141666669402	0.020123795101	0.703975908575
ABCA13	chr7:48211056-48687091	404253	17184	789.972222222	61.0277777778	0.0989110124452	0.179758473112	0.550243950856
ABCA17P	chr16:2390922-2476700	67884	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12676	7940	50.2222222222	1357.77777778	0.200539428617	8.6555420859	0.0231689045732
ABCA3	chr16:2325878-2390747	47215	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	117571	7325	34.1111111111	4.88888888889	0.0146852631192	0.0337822534884	0.434703478981
ABCA5	chr17:67240575-67323323	53224	8046	56.3333333333	243.666666667	0.0535727595757	1.53285887374	0.0349495706965
ABCA6	chr17:67074846-67138015	53661	5296	28.0	2.0	0.0264110305751	0.0191147269056	1.38171111235
ABCA7	chr19:1040101-1065570	14732	6818	407.277777778	3657.72222222	1.39931368856	27.1543744381	0.051531796166
ABCA8	chr17:66863427-66951533	76296	5708	88.0	6.0	0.058380388519	0.0532051123119	1.09727028066
ABCA9	chr17:66970772-67057136	65835	6301	69.3888888889	126.611111111	0.0533481264277	1.0170643197	0.0524530507995
ABCB1	chr7:87133178-87342639	193654	4716	139.722222222	126.277777778	0.0365195225241	1.35531177824	0.0269454771297
ABCB10	chr1:229652328-229694442	34075	3857	183.777777778	293.222222222	0.272987781799	3.84798455554	0.0709430554772
ABCB11	chr2:169779448-169887833	83418	4775	100.0	1.0	0.0606773080702	0.0106001668787	5.72418422882
ABCB4	chr7:87031360-87105019	59658	3826	36.1944444444	1.80555555556	0.0307085495148	0.0238864697319	1.28560435508
ABCB5	chr7:20655244-20796637	10400	726	5.0	0.0	0.0243345177144	0.0	inf
ABCB6	chr2:220074487-220083712	4750	3018	17.5833333333	95.4166666667	0.187367247974	1.60026196677	0.117085359687
ABCB7	chrX:74273006-74376175	92764	2327	282.472222222	271.527777778	0.154128289149	5.90614303311	0.0260962676124
