gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	20.2222222222	26.7777777778	0.45218237792	1.48980230305	0.303518377569
A1BG-AS1	chr19:58863335-58866549	1084	2130	5.0	2.0	0.453195438071	0.0922561229801	4.91236162362
A1CF	chr10:52559168-52645435	72712	9221	3.0	11.0	0.00405377809607	0.117208597843	0.0345860130627
A2M	chr12:9220303-9268558	41456	4653	3.0	0.0	0.00711014842053	0.0	inf
A2M-AS1	chr12:9217772-9220651	692	2187	0.0	0.0	0.0	0.0	NA
A2ML1	chr12:8975149-9029381	23197	3618	1.0	4.0	0.00423558093606	0.108626612464	0.0389921110488
A2MP1	chr12:9381128-9386803	4261	1201	1.55555555556	0.444444444444	0.035868961215	0.0363596154959	0.986505515137
A3GALT2	chr1:33772366-33786699	11486	1023	4.0	1.0	0.0342165317687	0.0960437643927	0.356259794532
A4GALT	chr22:43088126-43116876	22714	2092	2.0	1.0	0.00865129620267	0.0469659517083	0.184203574888
A4GNT	chr3:137842559-137851229	6300	1771	0.0	1.0	0.0	0.055478696202	0.0
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	44.6111111111	690.388888889	0.450479474089	39.0291262272	0.0115421357749
AACS	chr12:125549924-125627871	66476	3321	31.0	61.0	0.0458185796406	1.80470311033	0.0253884305836
AACSP1	chr5:178191863-178203277	8614	2173	0.0	6.0	0.0	0.271291590356	0.0
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	2.0	0.0	0.00119235182153	0.0	inf
AADACL3	chr1:12776117-12788726	7758	3832	0.0	1.0	0.0	0.0256400759326	0.0
AADACL4	chr1:12704565-12727097	18716	1575	3.0	0.0	0.0157490015453	0.0	inf
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	0.0	0.0	0.0	0.0	NA
AAED1	chr9:99403532-99417599	10269	1225	4.0	44.0	0.038271602288	3.52907912069	0.0108446427465
AAGAB	chr15:67493012-67547536	46376	3021	68.5277777778	261.472222222	0.14518380316	8.50392928368	0.0170725553232
AAK1	chr2:69685126-69870977	151850	21265	139.0	801.0	0.0899383283856	3.70093908065	0.024301488467
AAMDC	chr11:77532207-77583398	40847	504	38.0	4.0	0.0914046391902	0.779783896617	0.11721791074
AAMP	chr2:219128851-219134893	3467	1793	38.6388888889	1335.36111111	1.09500372099	73.1750861223	0.0149641603313
AANAT	chr17:74449432-74466199	1488	846	2.0	1.0	0.13206017604	0.116138027156	1.13709677419
AAR2	chr20:34824338-34844863	13907	2486	60.0	594.0	0.423899206042	23.4763258079	0.0180564543835
AARD	chr8:117950463-117956239	3836	1786	0.0	5.0	0.0	0.275063748527	0.0
AARS	chr16:70286296-70323412	24627	3344	184.611111111	3240.38888889	0.736531173883	95.2084890448	0.00773598217209
AARS2	chr6:44266462-44281063	9504	4782	86.1666666667	733.833333333	0.890794798566	15.0776157325	0.0590806142277
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	26549	1687	7.0	25.0	0.0259056611103	1.45602802273	0.0177920072319
AASDHPPT	chr11:105948291-105969419	17497	2861	26.0	200.0	0.146000574117	6.86842159901	0.0212567868778
AASS	chr7:121713597-121784344	61856	5871	15.0	21.0	0.0238261698882	0.351440672875	0.0677957098515
AATF	chr17:35306174-35414171	97511	2141	112.055555556	1972.94444444	0.112907967679	90.5405224867	0.00124704347377
AATK	chr17:79091095-79139872	9564	5042	6.83333333333	13.1666666667	0.0702001186729	0.25657704968	0.273602486116
AATK-AS1	chr17:79139306-79156964	14641	1577	6.0	0.0	0.0402647787612	0.0	inf
ABAT	chr16:8768443-8878432	49568	4689	0.0	0.0	0.0	0.0	NA
