gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	41.7222222222	104.277777778	0.892783677277	5.55187820854	0.160807504009
A1BG-AS1	chr19:58863335-58866549	1084	2130	6.0	3.0	0.520428210872	0.132428211405	3.92988929889
A1CF	chr10:52559168-52645435	72712	9221	5.0	7.0	0.00646550982626	0.0713770969182	0.0905824151643
A2M	chr12:9220303-9268558	41047	4653	203.972222222	39.7777777778	0.467227577199	0.803796899847	0.581275664646
A2M-AS1	chr12:9217772-9220651	692	2187	4.0	11.0	0.543491503454	0.472914646124	1.14923804519
A2ML1	chr12:8975149-9029381	23197	3618	0.0	6.0	0.0	0.155927081422	0.0
A2MP1	chr12:9381128-9386803	4261	1201	5.0	2.0	0.110330943555	0.156576236632	0.704646796527
A3GALT2	chr1:33772366-33786699	11486	1023	17.3888888889	3.61111111111	0.142344890497	0.331897575559	0.428881983418
A4GALT	chr22:43088126-43116876	22714	2092	2.0	1.0	0.00827894955512	0.0449445650562	0.184203574888
A4GNT	chr3:137842559-137851229	6300	1771	1.0	0.0	0.0149244492218	0.0	inf
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	25.2222222222	163.777777778	0.24373021391	8.86021099371	0.0275083983986
AACS	chr12:125549924-125627871	66476	3321	58.3055555556	54.6944444444	0.082467707299	1.54850710347	0.0532562667064
AACSP1	chr5:178191863-178203277	8614	2173	1.0	2.0	0.0109152577313	0.0865384538403	0.126131878338
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	2.0	0.0	0.00114103370768	0.0	inf
AADACL3	chr1:12776117-12788726	7758	3832	0.0	1.0	0.0	0.024536542301	0.0
AADACL4	chr1:12704565-12727097	18716	1575	1.0	0.0	0.00502372462585	0.0	inf
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	1.0	1.0	0.00353926184211	0.0463172562056	0.0764134608146
AAED1	chr9:99403532-99417599	10269	1225	33.7777777778	130.222222222	0.309272840043	9.99511685027	0.0309423936384
AAGAB	chr15:67493012-67547536	46376	3021	105.638888889	124.361111111	0.214175307667	3.87055043167	0.0553345865008
AAK1	chr2:69685126-69870977	151850	21265	524.055555556	2906.94444444	0.324490058138	12.8531686779	0.025245919218
AAMDC	chr11:77532207-77583398	40847	504	70.1666666667	31.8333333333	0.161513765479	5.93868708618	0.0271968809157
AAMP	chr2:219128851-219134893	3467	1793	91.5277777778	370.472222222	2.4822066722	19.4273794604	0.127768476302
AANAT	chr17:74449432-74466199	1488	846	4.0	3.0	0.252752769079	0.333418546445	0.758064516129
AAR2	chr20:34824338-34844863	13907	2486	41.0	215.0	0.277197471345	8.13160356837	0.0340889062058
AARD	chr8:117950463-117956239	3836	1786	0.0	6.0	0.0	0.315870201895	0.0
