gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	11.0277777778	12.9722222222	0.679060648645	1.98748697464	0.341667974335
A1BG-AS1	chr19:58863335-58866549	1084	2130	3.0	1.0	0.748811633691	0.127028452413	5.89483394834
A1CF	chr10:52559168-52645435	72712	9221	2.0	4.0	0.00744225447355	0.117371479727	0.063407690615
A2M	chr12:9220303-9268558	41456	4653	0.0	0.0	0.0	0.0	NA
A2M-AS1	chr12:9217772-9220651	692	2187	0.0	0.0	0.0	0.0	NA
A2ML1	chr12:8975149-9029381	23197	3618	0.0	1.0	0.0	0.0747845781206	0.0
A2MP1	chr12:9381128-9386803	4261	1201	0.0	0.0	0.0	0.0	NA
A3GALT2	chr1:33772366-33786699	11486	1023	2.0	0.0	0.047113112248	0.0	inf
A4GALT	chr22:43088126-43116876	22714	2092	0.0	0.0	0.0	0.0	NA
A4GNT	chr3:137842559-137851229	6300	1771	0.0	0.0	0.0	0.0	NA
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	9.38888888889	220.611111111	0.261085029206	34.3445808418	0.00760192795506
AACS	chr12:125549924-125627871	66476	3321	22.1944444444	23.8055555556	0.0903358239183	1.9395012155	0.0465768328458
AACSP1	chr5:178191863-178203277	8614	2173	0.0	1.0	0.0	0.12451477388	0.0
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	4.0	0.0	0.0065670484182	0.0	inf
AADACL3	chr1:12776117-12788726	7758	3832	0.0	1.0	0.0	0.0706081951045	0.0
AADACL4	chr1:12704565-12727097	18716	1575	0.0	0.0	0.0	0.0	NA
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	1.0	0.0	0.010184845428	0.0	inf
AAED1	chr9:99403532-99417599	10269	1225	3.0	36.0	0.079044873982	7.95146263759	0.00994092251761
AAGAB	chr15:67493012-67547536	46376	3021	27.0	129.0	0.157525580004	11.5536603342	0.0136342574949
AAK1	chr2:69685126-69870977	151850	21265	47.8333333333	443.166666667	0.0852307795464	5.63874312313	0.0151152087771
AAMDC	chr11:77532207-77583398	40847	504	7.0	2.0	0.0463680129626	1.07369287159	0.0431855460621
AAMP	chr2:219128851-219134893	3467	1793	19.2222222222	438.777777778	1.50013506489	66.2132561056	0.0226561137924
AANAT	chr17:74449432-74466199	1488	846	0.0	1.0	0.0	0.319823408558	0.0
AAR2	chr20:34824338-34844863	16701	2486	20.0	198.0	0.324017248836	21.5498710864	0.0150356931388
AARD	chr8:117950463-117956239	3836	1786	0.0	4.0	0.0	0.605981195163	0.0
AARS	chr16:70286296-70323412	24627	3344	68.8611111111	919.138888889	0.756559564733	74.3696064581	0.0101729671672
AARS2	chr6:44266462-44281063	9504	4782	14.2777777778	187.722222222	0.406475899829	10.6215213265	0.038269084751
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
