gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	24.3611111111	47.6388888889	0.971518521027	4.72699310431	0.205525690346
A1BG-AS1	chr19:58863335-58866549	1084	2130	2.0	0.0	0.323306739535	0.0	inf
A1CF	chr10:52559168-52645435	72712	9221	3.0	7.0	0.00722984869738	0.133025243444	0.0543494490986
A2M	chr12:9220303-9268558	41456	4653	130.972222222	17.0277777778	0.553612445916	0.641267109532	0.863310214552
A2M-AS1	chr12:9217772-9220651	692	2187	3.0	5.0	0.759677396653	0.400622434449	1.89624277457
A2ML1	chr12:8975149-9029381	23197	3618	6.0	8.0	0.045324547009	0.387467667944	0.116976333147
A2MP1	chr12:9381128-9386803	4261	1201	3.0	3.0	0.123374033908	0.437715868846	0.281858718611
A3GALT2	chr1:33772366-33786699	11486	1023	11.0	0.0	0.167817759107	0.0	inf
A4GALT	chr22:43088126-43116876	22714	2092	2.0	2.0	0.0154294490471	0.167526054329	0.0921017874439
A4GNT	chr3:137842559-137851229	6300	1771	0.0	0.0	0.0	0.0	NA
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	47.9166666667	143.083333333	0.862954311203	14.4262455939	0.0598183571456
AACS	chr12:125549924-125627871	66476	3321	40.0	44.0	0.105440912707	2.32165586403	0.0454162541232
AACSP1	chr5:178191863-178203277	8614	2173	0.0	2.0	0.0	0.161281410794	0.0
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	7.0	1.0	0.00744289171928	0.246112714646	0.0302418009162
AADACL3	chr1:12776117-12788726	7758	3832	1.0	0.0	0.0225872973483	0.0	inf
