gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	11.3055555556	53.6944444444	0.509195775941	6.01716042435	0.0846239322257
A1BG-AS1	chr19:58863335-58866549	1084	2130	9.0	1.0	1.64310820238	0.0929123261024	17.684501845
A1CF	chr10:52559168-52645435	72712	9221	0.0	7.0	0.0	0.150235634116	0.0
A2M	chr12:9220303-9268558	41456	4653	110.472222222	11.5277777778	0.52737389812	0.49030404911	1.07560583903
A2M-AS1	chr12:9217772-9220651	692	2187	3.33333333333	7.66666666667	0.95329120712	0.693762361798	1.37408896708
A2ML1	chr12:8975149-9029381	23197	3618	0.138888888889	2.86111111111	0.0011849188748	0.156501713835	0.0075712836988
A2MP1	chr12:9381128-9386803	4261	1201	7.0	1.0	0.325116822855	0.164782060448	1.97301103027
A3GALT2	chr1:33772366-33786699	11486	1023	9.0	0.0	0.155069588315	0.0	inf
A4GALT	chr22:43088126-43116876	22714	2092	1.0	0.0	0.00871283149591	0.0	inf
A4GNT	chr3:137842559-137851229	6300	1771	0.0	0.0	0.0	0.0	NA
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	12.0	88.0	0.244073900841	10.0204179543	0.0243576567318
AACS	chr12:125549924-125627871	66476	3321	38.8888888889	33.1111111111	0.115774680769	1.97313961224	0.0586753618705
AACSP1	chr5:178191863-178203277	8614	2173	0.0	2.0	0.0	0.182147496179	0.0
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	1.0	0.0	0.0012008328303	0.0	inf
AADACL3	chr1:12776117-12788726	7758	3832	0.0	1.0	0.0	0.0516448994254	0.0
AADACL4	chr1:12704565-12727097	18716	1575	0.0	0.0	0.0	0.0	NA
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	0.0	0.0	0.0	0.0	NA
AAED1	chr9:99403532-99417599	10269	1225	20.6111111111	65.3888888889	0.397215500027	10.5638154495	0.0376015183079
AAGAB	chr15:67493012-67547536	46376	3021	40.0	47.0	0.170694544245	3.07893179944	0.0554395340216
AAK1	chr2:69685126-69870977	151850	21265	273.972222222	1214.02777778	0.357062854444	11.2983798916	0.0316030136948
AAMDC	chr11:77532207-77583398	40847	504	35.0	16.0	0.169574605502	6.28264300312	0.0269909662888
AAMP	chr2:219128851-219134893	3467	1793	48.4722222222	217.527777778	2.76689083801	24.0097351856	0.115240372983
AANAT	chr17:74449432-74466199	1488	846	0.0	0.0	0.0	0.0	NA
AAR2	chr20:34824338-34844863	16701	2486	28.4722222222	109.527777778	0.337389703815	8.71918893448	0.0386950789059
AARD	chr8:117950463-117956239	3836	1786	0.0	3.0	0.0	0.33242427984	0.0
AARS	chr16:70286296-70323412	24627	3344	16.25	80.75	0.130585450409	4.77891381842	0.0273253411488
AARS2	chr6:44266462-44281063	9504	4782	11.7222222222	97.2777777778	0.2440936373	4.02584458852	0.0606316592539
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	26549	1687	7.0	4.0	0.0521798479109	0.469243045876	0.111200045199
AASDHPPT	chr11:105948291-105969419	17497	2861	14.9722222222	18.0277777778	0.169346259721	1.24703107144	0.135799551109
AASS	chr7:121713597-121784344	61856	5871	5.0	20.0	0.0159970944288	0.674172218015	0.023728498448
AATF	chr17:35306174-35414171	97511	2141	57.0	361.0	0.115684235749	33.3690214432	0.00346681534985
AATK	chr17:79091095-79139872	9564	5042	4.0	25.0	0.0827700772054	0.981273574961	0.0843496445002
AATK-AS1	chr17:79139306-79156964	14641	1577	2.0	0.0	0.0270341171502	0.0	inf
ABAT	chr16:8768443-8878432	49568	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	127329	10502	15.0	57.0	0.0233140040287	1.07412735785	0.0217050649147
ABCA10	chr17:67144147-67240956	85184	6331	11.0	2.0	0.0255556888686	0.0625187978513	0.408768078512
ABCA11P	chr4:419223-467998	38732	1895	0.0	0.0	0.0	0.0	NA
ABCA12	chr2:215796265-216003151	83999	7895	3.0	0.0	0.00706805752205	0.0	inf
ABCA13	chr7:48211056-48687091	407082	17184	11.0	9.0	0.0053476591954	0.10365044759	0.051593208903
ABCA17P	chr16:2390922-2476700	67884	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12676	7940	93.5833333333	1865.41666667	1.46106391944	46.4952178231	0.0314239611695
ABCA3	chr16:2325878-2390747	47215	6623	0.0	0.0	0.0	0.0	NA
