gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	29.3333333333	43.6666666667	1.02741583232	3.80543432065	0.269986483998
A1BG-AS1	chr19:58863335-58866549	1084	2130	11.0	4.0	1.56173841116	0.289018256543	5.40359778598
A1CF	chr10:52559168-52645435	72712	9221	6.27777777778	9.72222222222	0.0132875446525	0.162267823336	0.0818865033086
A2M	chr12:9220303-9268558	40633	4653	196.972222222	33.5555555556	0.746055240699	1.10988062483	0.672194129718
A2M-AS1	chr12:9217772-9220651	692	2187	4.0	15.0	0.889608217395	1.05557079293	0.842774566474
A2ML1	chr12:8975149-9029381	23197	3618	6.0	8.0	0.0398074462067	0.340303419811	0.116976333147
A2MP1	chr12:9381128-9386803	4261	1201	5.72222222222	4.27777777778	0.206679819888	0.548176106204	0.377031792427
A3GALT2	chr1:33772366-33786699	11486	1023	11.8888888889	0.111111111111	0.159300575698	0.0167157838177	9.52994950374
A4GALT	chr22:43088126-43116876	22714	2092	0.0	1.0	0.0	0.0735670275379	0.0
A4GNT	chr3:137842559-137851229	6300	1771	0.0	1.0	0.0	0.0869013109031	0.0
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	33.9166666667	184.083333333	0.536469717326	16.300825064	0.0329105867476
AACS	chr12:125549924-125627871	66476	3321	58.8936507937	46.1063492063	0.136347910461	2.13666653814	0.0638133784695
AACSP1	chr5:178191863-178203277	8614	2173	0.0	1.0	0.0	0.070824768343	0.0
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	7.0	0.0	0.00653691059898	0.0	inf
AADACL3	chr1:12776117-12788726	7758	3832	2.0	2.0	0.0396757467413	0.080324750318	0.493941737561
AADACL4	chr1:12704565-12727097	18716	1575	1.0	0.0	0.00822302957947	0.0	inf
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	2.0	0.0	0.0115864053007	0.0	inf
AAED1	chr9:99403532-99417599	10269	1225	27.4722222222	49.5277777778	0.41172811691	6.22239594398	0.0661687428149
AAGAB	chr15:67493012-67547536	46376	3021	98.0	130.0	0.325220323394	6.62273710997	0.0491066334045
AAK1	chr2:69685126-69870977	151850	21265	639.138888889	2085.86111111	0.647776719901	15.0961043484	0.0429101909308
AAMDC	chr11:77532207-77583398	40847	504	74.6388888889	11.3611111111	0.281222386429	3.46924650784	0.0810615174774
AAMP	chr2:219128851-219134893	3467	1793	37.9722222222	221.027777778	1.68560985274	18.9719275167	0.0888475802608
AANAT	chr17:74449432-74466199	544	846	0.0	2.0	0.0	0.363835039266	0.0
AAR2	chr20:34824338-34844863	16701	2486	88.6388888889	98.3611111111	0.81682066469	6.08929747384	0.134140377966
AARD	chr8:117950463-117956239	3836	1786	0.0	3.0	0.0	0.258514370005	0.0
AARS	chr16:70286296-70323412	24627	3344	40.2777777778	163.722222222	0.251709078714	7.5350519518	0.0334050886874
AARS2	chr6:44266462-44281063	9504	4782	22.3333333333	140.666666667	0.361652947805	4.52716698168	0.079885047154
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	26549	1687	20.0	17.0	0.115938243707	1.55088190122	0.0747563329072
AASDHPPT	chr11:105948291-105969419	17497	2861	17.0	43.0	0.149530649103	2.31310574247	0.0646449690379
AASS	chr7:121713597-121784344	61856	5871	16.1944444444	23.8055555556	0.0402929542442	0.624038134329	0.0645680961269
AATF	chr17:35306174-35414171	97511	2141	114.388888889	426.611111111	0.180540699279	30.6662296886	0.00588728060517
AATK	chr17:79091095-79139872	9564	5042	1.5	10.5	0.0241377386464	0.320502444843	0.0753121825895
AATK-AS1	chr17:79139306-79156964	14641	1577	7.0	0.0	0.0735821017188	0.0	inf
ABAT	chr16:8768443-8878432	49568	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	127329	10502	47.8611111111	41.1388888889	0.0578495969394	0.602872442824	0.0959566117641
ABCA10	chr17:67144147-67240956	85184	6331	29.0	11.0	0.0523943983221	0.267402375249	0.195938417799
ABCA11P	chr4:419223-467998	38732	1895	7.0	7.0	0.0278146119814	0.568504248689	0.0489259527006
ABCA12	chr2:215796265-216003151	83999	7895	4.0	3.0	0.00732876446669	0.0584808948484	0.12531895221
ABCA13	chr7:48211056-48687091	407082	17184	61.0	22.0	0.0230617799809	0.197034967144	0.117044097883
ABCA17P	chr16:2390922-2476700	67884	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12676	7940	111.230392157	2000.76960784	1.35047368755	38.7812200977	0.0348228777783
ABCA3	chr16:2325878-2390747	47215	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	117571	7325	17.0	1.0	0.0222532577537	0.0210105421992	1.05914723869
ABCA5	chr17:67240575-67323323	55895	8046	26.0	75.0	0.07158883195	1.4345844669	0.0499021379372
ABCA6	chr17:67074846-67138015	53661	5296	2.0	1.0	0.00573609219393	0.0290600871619	0.197387301765
ABCA7	chr19:1040101-1065570	15655	6818	190.916666667	1513.08333333	1.87687634253	34.1547208096	0.0549521793191
ABCA8	chr17:66863427-66951533	76296	5708	7.0	0.0	0.0141202101193	0.0	inf
ABCA9	chr17:66970772-67057136	65835	6301	5.0	20.0	0.0116884804139	0.488500941468	0.0239272423483
ABCB1	chr7:87133178-87342639	88151	4716	74.7777777778	113.222222222	0.130554005366	3.69490066487	0.0353335629851
ABCB10	chr1:229652328-229694442	34075	3857	89.0	117.0	0.401974988209	4.66854029772	0.0861029278051
ABCB11	chr2:169779448-169887833	99955	4775	16.0	0.0	0.0246354414061	0.0	inf
ABCB4	chr7:87031360-87105019	62303	3826	9.0	0.0	0.0222319951605	0.0	inf
ABCB5	chr7:20655244-20796637	10400	726	1.0	0.0	0.0147982905394	0.0	inf
ABCB6	chr2:220074487-220083712	5188	3018	12.1666666667	24.8333333333	0.360924639472	1.26637016897	0.285007218517
ABCB7	chrX:74273006-74376175	93655	2327	48.1944444444	58.8055555556	0.0791973954325	3.8892589785	0.0203631066664
ABCB8	chr7:150725508-150744869	13531	4296	85.4722222222	174.527777778	0.97216502002	6.25237726549	0.155487261683
ABCB9	chr12:123405497-123451056	28715	2032	12.0	8.0	0.06431574645	0.605914258305	0.106146613268
