gene_id	DOG_iv	DOG_length	DOG_read_count	RPKM
A1BG	chr19:58853712-58855722,chr19:58855722-58856117,chr19:58856117-58858171,	4459	2.33333333333	0.0205699960015
A1BG-AS1	chr19:58874214-58876549,	2335	1.0	0.0168348018668
A1CF	chr10:52549168-52559168,	10000	1.0	0.00393092623589
A2M	chr12:9217666-9217772,	106	0	0.0
A2ML1	chr12:9029381-9039381,	10000	3.0	0.0117927787077
A2MP1	chr12:9371128-9381128,	10000	5.0	0.0196546311795
A3GALT2	chr1:33766320-33772366,	6046	1.0	0.00650169737991
A4GALT	chr22:43078126-43088126,	10000	1.0	0.00393092623589
A4GNT	chr3:137834451-137842559,	8108	4.0	0.0193928280015
AAAS	chr12:53693234-53693469,chr12:53700965-53701239,	509	0	0.0
AACS	chr12:125627871-125637871,	10000	3.0	0.0117927787077
AACSP1	chr5:178181863-178191863,	10000	1.0	0.00393092623589
AADACL3	chr1:12788726-12798726,	10000	17.0	0.0668257460102
AADACL4	chr1:12727097-12737097,	10000	1.0	0.00393092623589
AADAT	chr4:170971372-170981372,	10000	4.0	0.0157237049436
AAED1	chr9:99393532-99403532,	10000	23.6944444444	0.0931411133116
AAGAB	chr15:67487533-67493012,	5479	8.5	0.0609835243751
AAK1	chr2:69675126-69685126,	10000	167.0	0.656464681394
AAMDC	chr11:77583398-77589765,	6367	20.0	0.123478128974
AAMP	chr2:219119071-219125737,chr2:219128582-219128851,	6935	26.4722222222	0.150050977442
AANAT	chr17:74466199-74466974,	775	2.0	0.1014432577
AAR2	chr20:34844863-34854863,	10000	28.0	0.110065934605
AARD	chr8:117956239-117962511,	6272	1.0	0.00626742065672
AARS	chr16:70276296-70284133,chr16:70285833-70286296,	8300	175.263888889	0.83005954101
AARS2	chr6:44265458-44266462,	1004	6.0	0.234915910512
AARSD1	chr17:41092542-41102542,	10000	8.5	0.0334128730051
AASDH	chr4:57196890-57204450,	7560	0	0.0
AASDHPPT	chr11:105969419-105979419,	10000	9.0	0.035378336123
AASS	chr7:121703597-121712090,chr7:121712090-121713597,	10000	1.0	0.00393092623589
AATF	chr17:35414171-35424171,	10000	6.08333333333	0.0239131346017
AATK-AS1	chr17:79156964-79163392,	6428	1.5	0.00917297659278
ABCA1	chr9:107536291-107536632,chr9:107540045-107543283,	3579	0.666666666667	0.00732220589717
ABCA10	chr17:67138015-67144147,	6132	6.0	0.0384630747152
ABCA11P	chr4:409223-419223,	10000	17.0	0.0668257460102
ABCA13	chr7:48687091-48697091,	10000	1.0	0.00393092623589
ABCA2	chr9:139891685-139898428,chr9:139898428-139901685,	10000	1.0	0.00393092623589
ABCA4	chr1:94448393-94458393,	10000	2.0	0.00786185247179
ABCA6	chr17:67064846-67074846,	10000	13.0	0.0511020410666
ABCA7	chr19:1065570-1065921,	351	0	0.0
ABCA8	chr17:66853427-66863427,	10000	5.0	0.0196546311795
ABCA9	chr17:66960772-66970772,	10000	6.0	0.0235855574154
ABCB1	chr7:87123178-87133178,	10000	15.2222222222	0.0598374327019
ABCB10	chr1:229644088-229644176,chr1:229649834-229652328,	2582	0.166666666667	0.00253739106371
ABCB11	chr2:169769448-169776510,chr2:169776510-169779448,	10000	4.5	0.0176891680615
ABCB4	chr7:87029112-87031360,	2248	0.486111111111	0.00850029768784
ABCB5	chr7:20796637-20806637,	10000	6.0	0.0235855574154
ABCB6	chr2:220064487-220071505,chr2:220074373-220074487,	7132	3.0	0.0165350234264
ABCB7	chrX:74263006-74273006,	10000	30.0	0.117927787077
ABCB8	chr7:150744869-150745378,chr7:150749843-150750898,	1564	2.5	0.0628344986556
ABCB9	chr12:123395497-123405497,	10000	3.0	0.0117927787077
ABCC1	chr16:16236930-16243421,	6491	49.4583333333	0.299517886433
ABCC10	chr6:43424370-43428163,	3793	22.0	0.227999939862
ABCC11	chr16:48190821-48200821,	10000	0	0.0
ABCC12	chr16:48106883-48116883,	10000	4.0	0.0157237049436
ABCC13	chr21:15673692-15683692,	10000	1.0	0.00393092623589
ABCC2	chr10:101611949-101621949,	10000	2.0	0.00786185247179
ABCC3	chr17:48769063-48770550,	1487	1.0	0.0264352806718
ABCC4	chr13:95662082-95672082,	10000	2.0	0.00786185247179
ABCC5	chr3:183627723-183637723,	10000	3.0	0.0117927787077
ABCC5-AS1	chr3:183735727-183739207,	3480	2.0	0.0225915300913
ABCC6	chr16:16236930-16243421,	6491	49.4583333333	0.299517886433
ABCC6P1	chr16:18609607-18619607,	10000	1.0	0.00393092623589
ABCC8	chr11:17404431-17406795,chr11:17410878-17414431,	5917	1.33333333333	0.00885792628222
ABCC9	chr12:21940323-21950323,	10000	0	0.0
ABCD1	chrX:153010216-153020216,	10000	2.0	0.00786185247179
ABCD2	chr12:39935021-39945021,	10000	6.0	0.0235855574154
ABCD3	chr1:94984219-94984731,chr1:94984731-94994219,	10000	1.5	0.00589638935384
ABCD4	chr14:74741979-74751979,	10000	8.0	0.0314474098872
ABCE1	chr4:146050676-146054801,	4125	13.0555555556	0.124413153594
ABCF2	chr7:150894922-150904922,	10000	2.0	0.00786185247179
ABCF3	chr3:183911795-183911879,chr3:183911879-183921795,	10000	162.361111111	0.638229551356
ABCG1	chr21:43717354-43721776,chr21:43721776-43727354,	10000	211.0	0.829425435774
ABCG2	chr4:89001415-89008931,chr4:89008931-89011415,	10000	2.5	0.00982731558974
ABCG4	chr11:119033374-119039042,	5668	6.0	0.0416117809022
ABCG5	chr2:44037149-44039610,	2461	0.5	0.00798644095062
ABCG8	chr2:44105605-44113362,	7757	6.5	0.0329393071204
ABHD1	chr2:27357542-27359714,chr2:27362332-27363680,	3520	2.0	0.0223348081585
ABHD10	chr3:111712215-111717585,	5370	0	0.0
ABHD11	chr7:73140424-73149398,chr7:73150330-73150424,	9068	4.0	0.0173397716625
ABHD12B	chr14:51371688-51371934,	246	0	0.0
ABHD13	chr13:108886603-108896603,	10000	5.0	0.0196546311795
ABHD14A	chr3:52023218-52025216,	1998	1.25	0.0245928818562
ABHD14A-ACY1	chr3:52023218-52025216,chr3:52025216-52027643,chr3:52029958-52033218,	7685	6.55555555556	0.0335320823997
ABHD14B	chr3:52001482-52001520,chr3:52001520-52002525,	1043	2.55555555556	0.0963154398909
ABHD15	chr17:27878921-27887688,	8767	5.31944444444	0.0238511962211
