#Name (cmd = mergePeaks ./motif//bg.clean.pos ./motif//target.clean..pos -d 200 -cobound 1 -prefix ./motif//0.805857143904181.2.tmp)	chr	start	end	strand	stat	stat2	./motif//target.clean..pos
BGdKO-na_vs_Null_peak_14000	chr7	67007316	67007516	+	28.4	0.000	WT-na_vs_Null_peak_21429
BGdKO-na_vs_Null_peak_14001	chr7	67011051	67011251	+	23.2	0.000	WT-na_vs_Null_peak_21431
BGdKO-na_vs_Null_peak_14003	chr7	67013592	67013792	+	24.5	0.000	WT-na_vs_Null_peak_21432
BGdKO-na_vs_Null_peak_14004	chr7	67017797	67017997	+	29.4	0.000	WT-na_vs_Null_peak_21433
BGdKO-na_vs_Null_peak_14005	chr7	67020557	67020757	+	14.7	0.000	WT-na_vs_Null_peak_21434
BGdKO-na_vs_Null_peak_14006	chr7	67024194	67024394	+	24.7	0.000	WT-na_vs_Null_peak_21435
BGdKO-na_vs_Null_peak_14007	chr7	67024942	67025142	+	19.9	0.000	WT-na_vs_Null_peak_21436
BGdKO-na_vs_Null_peak_14008	chr7	67026504	67026704	+	24.3	0.000	WT-na_vs_Null_peak_21437
BGdKO-na_vs_Null_peak_14009	chr7	67027873	67028073	+	45.4	0.000	WT-na_vs_Null_peak_21438
BGdKO-na_vs_Null_peak_14011	chr7	67030668	67030868	+	17.2	0.000	WT-na_vs_Null_peak_21439
BGdKO-na_vs_Null_peak_14012	chr7	67034329	67034529	+	34.9	0.000	WT-na_vs_Null_peak_21440
BGdKO-na_vs_Null_peak_14013	chr7	67036626	67036826	+	25.7	0.000	WT-na_vs_Null_peak_21441
BGdKO-na_vs_Null_peak_14015	chr7	67039935	67040135	+	39.4	0.000	WT-na_vs_Null_peak_21442
BGdKO-na_vs_Null_peak_14016	chr7	67041152	67041352	+	26.9	0.000	WT-na_vs_Null_peak_21443
BGdKO-na_vs_Null_peak_14018	chr7	67048730	67048930	+	17.8	0.000	WT-na_vs_Null_peak_21445
BGdKO-na_vs_Null_peak_14020	chr7	70168956	70169156	+	7.05	0.000	WT-na_vs_Null_peak_21448
BGdKO-na_vs_Null_peak_14021	chr7	70900544	70900744	+	20.3	0.000	WT-na_vs_Null_peak_21450
BGdKO-na_vs_Null_peak_14023	chr7	71003476	71003676	+	11.1	0.000	WT-na_vs_Null_peak_21452
BGdKO-na_vs_Null_peak_14025	chr7	71070354	71070554	+	18.7	0.000	WT-na_vs_Null_peak_21455
BGdKO-na_vs_Null_peak_14026	chr7	71075047	71075247	+	23.7	0.000	WT-na_vs_Null_peak_21456
BGdKO-na_vs_Null_peak_14028	chr7	71083962	71084162	+	18.4	0.000	WT-na_vs_Null_peak_21457
BGdKO-na_vs_Null_peak_14030	chr7	71129273	71129473	+	31.4	0.000	WT-na_vs_Null_peak_21460
BGdKO-na_vs_Null_peak_14031	chr7	71144179	71144379	+	22.8	0.000	WT-na_vs_Null_peak_21461
BGdKO-na_vs_Null_peak_14032	chr7	71156887	71157087	+	17.3	0.000	WT-na_vs_Null_peak_21462
BGdKO-na_vs_Null_peak_14033	chr7	71167769	71167969	+	7.82	0.000	WT-na_vs_Null_peak_21463
BGdKO-na_vs_Null_peak_14034	chr7	71187836	71188036	+	33.8	0.000	WT-na_vs_Null_peak_21464
BGdKO-na_vs_Null_peak_14036	chr7	71246656	71246856	+	22.8	0.000	WT-na_vs_Null_peak_21466
BGdKO-na_vs_Null_peak_14037	chr7	71267316	71267516	+	7.82	0.000	WT-na_vs_Null_peak_21467
BGdKO-na_vs_Null_peak_14038	chr7	71286264	71286464	+	35.0	0.000	WT-na_vs_Null_peak_21468
BGdKO-na_vs_Null_peak_14039	chr7	71305903	71306103	+	23.1	0.000	WT-na_vs_Null_peak_21469
BGdKO-na_vs_Null_peak_14040	chr7	71432313	71432513	+	23.9	0.000	WT-na_vs_Null_peak_21472
BGdKO-na_vs_Null_peak_14041	chr7	71471955	71472155	+	11.1	0.000	WT-na_vs_Null_peak_21473
BGdKO-na_vs_Null_peak_14042	chr7	71518911	71519111	+	36.3	0.000	WT-na_vs_Null_peak_21474
BGdKO-na_vs_Null_peak_14043	chr7	71537095	71537295	+	32.3	0.000	WT-na_vs_Null_peak_21475
BGdKO-na_vs_Null_peak_14044	chr7	71537488	71537688	+	19.6	0.000	WT-na_vs_Null_peak_21476
BGdKO-na_vs_Null_peak_14045	chr7	71613817	71614017	+	10.2	0.000	WT-na_vs_Null_peak_21479
BGdKO-na_vs_Null_peak_14048	chr7	71638909	71639109	+	12.1	0.000	WT-na_vs_Null_peak_21483
BGdKO-na_vs_Null_peak_14050	chr7	72017828	72018028	+	16.7	0.000	WT-na_vs_Null_peak_21485
BGdKO-na_vs_Null_peak_14051	chr7	72789531	72789731	+	9.43	0.000	WT-na_vs_Null_peak_21486
BGdKO-na_vs_Null_peak_14052	chr7	72838174	72838374	+	10.3	0.000	WT-na_vs_Null_peak_21487
BGdKO-na_vs_Null_peak_14053	chr7	72849699	72849899	+	15.7	0.000	WT-na_vs_Null_peak_21488
BGdKO-na_vs_Null_peak_14055	chr7	73205301	73205501	+	22.8	0.000	WT-na_vs_Null_peak_21490
BGdKO-na_vs_Null_peak_14056	chr7	73224310	73224510	+	46.5	0.000	WT-na_vs_Null_peak_21491
BGdKO-na_vs_Null_peak_14057	chr7	73254227	73254427	+	26.0	0.000	WT-na_vs_Null_peak_21492
BGdKO-na_vs_Null_peak_14058	chr7	73260854	73261054	+	13.8	0.000	WT-na_vs_Null_peak_21493
BGdKO-na_vs_Null_peak_14059	chr7	73320797	73320997	+	16.2	0.000	WT-na_vs_Null_peak_21494
BGdKO-na_vs_Null_peak_14060	chr7	73325232	73325432	+	14.2	0.000	WT-na_vs_Null_peak_21495
BGdKO-na_vs_Null_peak_14063	chr7	73342180	73342380	+	9.62	0.000	WT-na_vs_Null_peak_21496
BGdKO-na_vs_Null_peak_14064	chr7	73375308	73375508	+	16.8	0.000	WT-na_vs_Null_peak_21497
BGdKO-na_vs_Null_peak_14065	chr7	73378221	73378421	+	32.5	0.000	WT-na_vs_Null_peak_21498
BGdKO-na_vs_Null_peak_14066	chr7	73445667	73445867	+	27.1	0.000	WT-na_vs_Null_peak_21502
BGdKO-na_vs_Null_peak_14067	chr7	73655895	73656095	+	12.9	0.000	WT-na_vs_Null_peak_21503
BGdKO-na_vs_Null_peak_14068	chr7	73834531	73834731	+	47.3	0.000	WT-na_vs_Null_peak_21505
BGdKO-na_vs_Null_peak_14069	chr7	73984389	73984589	+	32.9	0.000	WT-na_vs_Null_peak_21506
BGdKO-na_vs_Null_peak_14070	chr7	74367323	74367523	+	12.9	0.000	WT-na_vs_Null_peak_21508
BGdKO-na_vs_Null_peak_14071	chr7	74498637	74498837	+	13.8	0.000	WT-na_vs_Null_peak_21509
BGdKO-na_vs_Null_peak_14072	chr7	74517694	74517894	+	9.43	0.000	WT-na_vs_Null_peak_21510
BGdKO-na_vs_Null_peak_14075	chr7	74566841	74567041	+	18.4	0.000	WT-na_vs_Null_peak_21511
BGdKO-na_vs_Null_peak_14077	chr7	74775833	74776033	+	23.9	0.000	WT-na_vs_Null_peak_21512
BGdKO-na_vs_Null_peak_14078	chr7	74790219	74790419	+	53.1	0.000	WT-na_vs_Null_peak_21513
BGdKO-na_vs_Null_peak_14079	chr7	75215638	75215838	+	27.2	0.000	WT-na_vs_Null_peak_21518
BGdKO-na_vs_Null_peak_14083	chr7	75395474	75395674	+	48.4	0.000	WT-na_vs_Null_peak_21524
BGdKO-na_vs_Null_peak_14084	chr7	75409536	75409736	+	16.7	0.000	WT-na_vs_Null_peak_21525
BGdKO-na_vs_Null_peak_14085	chr7	75420652	75420852	+	20.7	0.000	WT-na_vs_Null_peak_21526
BGdKO-na_vs_Null_peak_14087	chr7	75430909	75431109	+	10.0	0.000	WT-na_vs_Null_peak_21528
BGdKO-na_vs_Null_peak_14088	chr7	75431865	75432065	+	21.5	0.000	WT-na_vs_Null_peak_21529
BGdKO-na_vs_Null_peak_14090	chr7	75514636	75514836	+	10.3	0.000	WT-na_vs_Null_peak_21532
BGdKO-na_vs_Null_peak_14091	chr7	75894239	75894439	+	7.05	0.000	WT-na_vs_Null_peak_21533
