gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4071	1766	80.1388888889	93.8611111111	0.739479801478	1.99654495496	0.370379740081
A1BG-AS1	chr19:58863335-58866549	1084	2130	19.5	8.5	0.675755253607	0.14990752153	4.50781419579
A1CF	chr10:52559168-52645435	72712	9221	24.0	59.0	0.0123990740271	0.240357728594	0.0515859177885
A2M	chr12:9220303-9268558	41456	4653	329.527777778	41.4722222222	0.298599265844	0.334817659379	0.891826513567
A2M-AS1	chr12:9217772-9220651	692	2187	1.0	19.0	0.0542847706321	0.326353984578	0.166337085488
A2ML1	chr12:8975149-9029381	23197	3618	20.2777777778	23.7222222222	0.0328376930117	0.246303684747	0.133321972204
A2MP1	chr12:9381128-9386803	4261	1201	13.8055555556	0.194444444444	0.121710054075	0.00608186300634	20.0119690214
A3GALT2	chr1:33772366-33786699	11486	1023	31.0	0.0	0.101385765245	0.0	inf
A4GALT	chr22:43088126-43116876	22714	2092	23.0	0.0	0.0380380562376	0.0	inf
A4GNT	chr3:137842559-137851229	6300	1771	3.0	4.0	0.0178881244178	0.0848448588988	0.210833333333
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	161.75	634.25	0.624475710342	13.7086536911	0.04555339455
AACS	chr12:125549924-125627871	66476	3321	295.75	242.25	0.167125983405	2.74017949246	0.060990889051
AACSP1	chr5:178191863-178203277	8614	2173	11.0	22.0	0.0479702430987	0.380318153752	0.126131878338
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	112.0	0.0	0.0255288787541	0.0	inf
AADACL3	chr1:12776117-12788726	7758	3832	3.0	4.0	0.0145263191328	0.0392119637552	0.370456303171
AADACL4	chr1:12704565-12727097	18716	1575	11.0	0.0	0.0220782044268	0.0	inf
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	12.9166666667	10.0833333333	0.0182645251387	0.186591642634	0.0978850117873
AAED1	chr9:99403532-99417599	10269	1225	83.4444444444	86.5555555556	0.305248385317	2.65425693743	0.115003329562
AAGAB	chr15:67493012-67547536	46376	3021	495.444444444	434.555555556	0.401315355251	5.40354388378	0.0742689175627
AAK1	chr2:69685126-69870977	151850	21265	4921.22222222	10765.7777778	1.21742518497	19.0179685832	0.0640144702966
AAMDC	chr11:77532207-77583398	40847	504	503.444444444	39.5555555556	0.462994134339	2.94822791331	0.157041500167
AAMP	chr2:219128851-219134893	3467	1793	160.194444444	619.805555556	1.73571217821	12.9855179445	0.133665225032
AANAT	chr17:74449432-74466199	1488	846	5.0	1.0	0.1262266844	0.044403145718	2.84274193548
AAR2	chr20:34824338-34844863	16701	2486	464.361111111	398.638888889	1.04447360001	6.02369038161	0.173394303797
AARD	chr8:117950463-117956239	3836	1786	0.0	23.0	0.0	0.483760587559	0.0
AARS	chr16:70286296-70323412	24627	3344	227.166666667	1017.83333333	0.346511136295	11.4339029716	0.0303055865662
AARS2	chr6:44266462-44281063	9504	4782	84.2222222222	572.777777778	0.332892775537	4.49946305324	0.0739850003429
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	26549	1687	79.0	150.0	0.111779722058	3.3401062191	0.0334659183648
AASDHPPT	chr11:105948291-105969419	17497	2861	116.916666667	335.083333333	0.251013416454	4.39965954202	0.0570529183125
AASS	chr7:121713597-121784344	61856	5871	314.055555556	267.944444444	0.190725494519	1.71441823787	0.111247938401
AATF	chr17:35306174-35414171	97511	2141	657.305555556	1353.69444444	0.253219877475	23.751338046	0.0106612889339
AATK	chr17:79091095-79139872	9564	5042	0.0	4.0	0.0	0.0298017146192	0.0
AATK-AS1	chr17:79139306-79156964	14641	1577	15.0	0.0	0.0384861634562	0.0	inf
ABAT	chr16:8768443-8878432	49568	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	127329	10502	249.25	407.75	0.0735346348703	1.45849873699	0.0504180312299
ABCA10	chr17:67144147-67240956	85184	6331	196.916666667	43.0833333333	0.0868377471108	0.255635453594	0.33969367664
ABCA11P	chr4:419223-467998	38732	1895	94.0	46.0	0.0911679169699	0.911869561352	0.099979120736
ABCA12	chr2:215796265-216003151	83999	7895	43.5	6.5	0.0194535668945	0.0309275362006	0.629004740899
ABCA13	chr7:48211056-48687091	407082	17184	902.0	80.0	0.0832355281547	0.17488389794	0.475947352131
ABCA17P	chr16:2390922-2476700	67884	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12676	7940	72.8611111111	1789.13888889	0.215922381164	8.46462367695	0.0255087986666
ABCA3	chr16:2325878-2390747	47215	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	117571	7325	54.4166666667	5.58333333333	0.0173866465187	0.0286332093924	0.607219619723
ABCA5	chr17:67240575-67323323	55895	8046	135.5	612.5	0.0910647786581	2.85963211937	0.0318449278987
ABCA6	chr17:67074846-67138015	53661	5296	29.7222222222	5.27777777778	0.0208068634405	0.0374358092203	0.555801086548
ABCA7	chr19:1040101-1065570	15655	6818	726.726190476	5433.27380952	1.74382075229	29.9356502775	0.058252309074
ABCA8	chr17:66863427-66951533	76296	5708	141.861111111	4.13888888889	0.0698466673453	0.0272385449775	2.56425838469
ABCA9	chr17:66970772-67057136	65835	6301	103.638888889	147.361111111	0.0591357364903	0.878531847136	0.0673120009059
ABCB1	chr7:87133178-87342639	88151	4716	239.638888889	195.361111111	0.102120787576	1.55613912428	0.0656244586245
ABCB10	chr1:229652328-229694442	34075	3857	440.75	478.25	0.485892905592	4.65789228829	0.104316045868
ABCB11	chr2:169779448-169887833	94314	4775	120.333333333	2.66666666667	0.0479285052101	0.0209787427727	2.28462237844
ABCB4	chr7:87031360-87105019	62303	3826	55.7777777778	6.22222222222	0.0336307343168	0.0610920436643	0.550492867805
ABCB5	chr7:20655244-20796637	10400	726	11.0	0.0	0.0397322763511	0.0	inf
ABCB6	chr2:220074487-220083712	5188	3018	45.8333333333	108.166666667	0.331868152509	1.34635104755	0.246494517988
ABCB7	chrX:74273006-74376175	93655	2327	605.25	425.75	0.242766038526	6.87293718903	0.0353220219899
ABCB8	chr7:150725508-150744869	13531	4296	425.083333333	595.916666667	1.18012574567	5.21081147569	0.22647638495
ABCB9	chr12:123405497-123451056	28715	2032	87.8611111111	38.1388888889	0.114940206261	0.705063827837	0.163020994303
ABCC1	chr16:16043433-16236930	163098	6563	1917.41666667	3500.58333333	0.44162328525	20.0365118731	0.0220409264869
ABCC10	chr6:43395291-43418163	11994	4652	285.888888889	1064.11111111	0.895400502722	8.59273411326	0.104204376735
ABCC11	chr16:48200821-48269088	55684	4416	32.0833333333	4.91666666667	0.0216437824627	0.041824022784	0.517496429611
ABCC12	chr16:48116883-48180681	56688	5168	15.2777777778	1.72222222222	0.0101240237512	0.0125184565231	0.808727795835
ABCC13	chr21:15646119-15673692	15387	712	15.0	2.0	0.0366202586054	0.105519835049	0.347046207838
ABCC2	chr10:101542354-101611949	49376	5446	77.3055555556	174.694444444	0.0588137542841	1.20499587043	0.0488082621087
ABCC3	chr17:48712217-48769063	26887	1780	0.0	0.0	0.0	0.0	NA
ABCC4	chr13:95672082-95953687	178550	2654	282.0	50.0	0.0593298643531	0.70770650485	0.0838339960795
ABCC5	chr3:183637723-183735727	28793	756	206.083333333	96.9166666667	0.268868580729	4.81571497637	0.0558314979287
ABCC5-AS1	chr3:183724125-183729207	3803	469	0.0	0.0	0.0	0.0	NA
ABCC6	chr16:16243421-16317328	1549	256	0.0	0.0	0.0	0.0	NA
ABCC6P1	chr16:18582569-18609607	17445	2724	3.0	1.0	0.00646002773473	0.0137904042869	0.468443680138
ABCC6P2	chr16:14916288-14918559	1546	706	0.0	0.0	0.0	0.0	NA
ABCC8	chr11:17414431-17498392	75177	4921	46.0277777778	5.97222222222	0.0229995383254	0.045589695944	0.504489838091
ABCC9	chr12:21950323-22089628	113436	4532	112.5	8.5	0.037255098855	0.0704552120164	0.528777045569
ABCD1	chrX:152990322-153010216	15320	3664	104.444444444	429.555555556	0.256100649846	4.40400675942	0.0581517385954
ABCD2	chr12:39945021-40013843	54975	5341	613.638888889	599.361111111	0.419306638715	4.21550961734	0.0994676033925
ABCD3	chr1:94883932-94984219	53227	786	234.833333333	94.1666666667	0.165734092785	4.50047913947	0.0368258773452
ABCD4	chr14:74751979-74769767	13237	3029	540.811111111	603.188888889	1.53475882212	7.48062976989	0.205164387135
ABCE1	chr4:146019155-146050676	26403	4191	293.638888889	1167.36111111	0.417776875906	10.4633719093	0.0399275567693
ABCF1	chr6:30539169-30559309	13894	3350	261.555555556	1413.44444444	0.707164997258	15.8495901993	0.0446172417308
ABCF2	chr7:150904922-150924460	10300	2122	86.3888888889	630.611111111	0.315068340272	11.1634990722	0.0282230811536
ABCF3	chr3:183903862-183911795	5227	2572	335.0	913.0	2.40755606044	13.3347204301	0.180547921725
ABCG1	chr21:43619798-43717354	71505	2811	1181.36111111	394.638888889	0.620626564991	5.27379368323	0.117681237126
ABCG2	chr4:89011415-89152474	52565	3947	64.0	8.0	0.0457369717827	0.0761389638256	0.600703890421
ABCG4	chr11:119019749-119033374	8924	3511	2.58333333333	4.41666666667	0.010874392085	0.0472550139491	0.230121444821
ABCG5	chr2:44039610-44065958	21179	2740	25.9166666667	3.08333333333	0.0459682313348	0.0422721188341	1.08743617786
ABCG8	chr2:44066102-44105605	32015	2665	14.0	0.0	0.016427014146	0.0	inf
ABHD1	chr2:27346656-27353680	4470	1446	21.5	22.5	0.180682062073	0.584518588342	0.309112602535
ABHD10	chr3:111697722-111712215	11378	2458	186.722222222	262.277777778	0.616473169242	4.00833230022	0.153797919701
